date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2010-03-02,1109,議借,196,0.01,9.8,2010-09-01,183
2010-05-18,1109,議借,330,0.01,9.95,2010-11-18,184
2011-10-25,1109,議借,20,0.01,10.8,2012-04-25,183
2012-10-11,1109,議借,20,0.01,10.4,2013-04-11,182
2014-02-12,1109,議借,30,0.01,12.1,2014-08-12,181
2014-08-04,1109,議借,200,2.0,14.2,2015-02-04,184
2014-09-29,1109,議借,100,2.5,13.7,2015-03-27,179
2015-07-28,1109,議借,336,0.01,11.4,2016-01-28,184
2015-08-26,1109,議借,330,0.01,10.0,2016-02-26,184
2016-06-15,1109,議借,323,0.5,10.2,2016-12-15,183
2016-09-02,1109,議借,295,0.5,10.4,2017-03-02,181
2017-01-19,1109,議借,330,0.5,10.05,2017-07-19,181
2017-04-05,1109,競價,39,7.0,10.3,2017-10-05,183
2018-06-21,1109,議借,200,2.0,15.6,2018-12-21,183
2018-06-21,1109,議借,200,2.0,15.6,2018-12-21,183
2018-11-29,1109,競價,40,3.0,14.75,2019-05-29,181
2019-05-13,1109,議借,200,3.45,19.1,2019-11-13,184
2019-05-13,1109,議借,200,3.45,19.1,2019-11-13,184
2019-07-26,1109,競價,10,2.0,17.5,2020-01-20,178
2019-08-01,1109,議借,175,4.0,17.75,2020-01-31,183
2019-09-09,1109,議借,190,4.0,16.65,2020-03-09,182
2019-09-09,1109,議借,190,4.0,16.65,2020-03-09,182
2020-03-16,1109,議借,255,0.41,14.7,2020-09-16,184
2020-03-16,1109,議借,255,0.41,14.7,2020-09-16,184
2020-04-06,1109,議借,240,3.1,15.75,2020-10-06,183
2020-04-06,1109,議借,59,0.41,15.75,2020-10-06,183
2020-05-06,1109,議借,174,3.0,17.35,2020-11-06,184
2020-05-06,1109,議借,175,3.0,17.35,2020-11-06,184
2020-05-06,1109,議借,174,3.0,17.35,2020-11-06,184
2020-05-06,1109,議借,175,3.0,17.35,2020-11-06,184
2020-06-12,1109,議借,180,3.0,17.8,2020-12-11,182
2020-06-12,1109,議借,180,3.0,17.8,2020-12-11,182
2020-07-13,1109,議借,130,3.0,18.3,2021-01-13,184
2020-07-13,1109,議借,200,4.0,18.3,2021-01-13,184
2020-07-13,1109,議借,200,4.0,18.3,2021-01-13,184
2020-07-13,1109,議借,130,3.0,18.3,2021-01-13,184
2020-07-16,1109,議借,67,2.75,17.0,2021-01-15,183
2020-09-18,1109,議借,218,0.2,20.5,2021-03-18,181
2020-12-03,1109,議借,150,2.0,20.6,2021-06-03,182
2020-12-09,1109,議借,180,2.25,20.95,2021-06-09,182
2021-01-26,1109,議借,160,2.25,18.75,2021-07-26,181
2021-04-26,1109,議借,110,2.25,29.15,2021-10-26,183
