date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2010-01-14,1217,議借,585,0.01,13.15,2010-07-14,181
2010-05-20,1217,議借,464,0.01,10.9,2010-11-19,183
2011-01-06,1217,議借,286,0.01,14.15,2011-07-06,181
2011-05-05,1217,議借,326,2.0,14.0,2011-11-04,183
2011-05-18,1217,議借,464,0.01,13.95,2011-11-18,184
2011-06-17,1217,議借,56,0.01,12.45,2011-12-16,182
2011-10-25,1217,議借,155,0.01,9.37,2012-04-25,183
2012-01-04,1217,議借,133,0.01,9.92,2012-07-04,182
2012-01-12,1217,議借,144,0.01,9.89,2012-07-12,182
2012-02-21,1217,競價,40,2.0,10.75,2012-08-21,182
2012-02-29,1217,議借,588,0.01,11.0,2012-08-29,182
2012-03-14,1217,議借,152,0.01,10.65,2012-09-14,184
2012-03-14,1217,議借,300,6.0,10.65,2012-09-14,184
2012-04-16,1217,議借,115,0.01,9.88,2012-10-16,183
2012-04-17,1217,議借,115,0.01,9.65,2012-10-17,183
2012-05-02,1217,議借,326,6.0,9.57,2012-11-02,184
2012-05-08,1217,議借,250,0.01,10.15,2012-11-08,184
2012-05-08,1217,議借,422,0.01,10.15,2012-11-08,184
2012-06-06,1217,議借,61,0.01,9.78,2012-12-06,183
2012-06-07,1217,議借,56,0.01,9.77,2012-12-07,183
2012-06-13,1217,議借,53,0.01,9.72,2012-12-13,183
2012-07-31,1217,議借,94,0.01,10.5,2013-01-31,184
2012-10-11,1217,議借,155,0.01,9.8,2013-04-11,182
2013-01-07,1217,議借,150,0.01,10.55,2013-07-05,179
2013-02-19,1217,議借,144,0.01,10.35,2013-08-19,181
2013-02-25,1217,議借,113,7.0,10.75,2013-08-23,179
2013-02-27,1217,競價,100,2.5,10.6,2013-08-27,181
2013-02-27,1217,議借,648,0.01,10.6,2013-08-27,181
2013-03-13,1217,議借,67,0.01,10.65,2013-09-13,184
2013-04-11,1217,議借,16,0.01,10.35,2013-10-11,183
2013-04-19,1217,議借,120,0.01,10.3,2013-10-18,182
2013-05-02,1217,議借,276,0.01,10.4,2013-11-01,183
2013-06-04,1217,議借,56,0.01,10.05,2013-12-04,183
2013-06-06,1217,議借,10,0.01,10.1,2013-12-06,183
2013-06-20,1217,議借,200,0.01,9.78,2013-12-20,183
2013-07-10,1217,議借,550,3.0,9.95,2014-01-10,184
2013-08-20,1217,議借,1000,0.01,9.99,2014-02-20,184
2013-09-10,1217,議借,146,0.01,9.91,2014-03-10,181
2013-09-24,1217,議借,100,0.01,9.71,2014-03-24,181
2013-10-31,1217,議借,150,0.01,9.6,2014-04-30,181
2013-11-29,1217,議借,100,0.01,9.17,2014-05-29,181
2013-12-06,1217,議借,200,0.01,9.2,2014-06-06,182
2013-12-10,1217,議借,1000,0.01,9.12,2014-06-10,182
2014-01-07,1217,議借,400,3.0,9.17,2014-07-07,181
2014-01-08,1217,議借,700,3.0,9.18,2014-07-08,181
2014-01-15,1217,議借,545,0.01,9.22,2014-07-15,181
2014-02-11,1217,議借,250,0.01,9.1,2014-08-11,181
2014-02-11,1217,議借,500,3.0,9.1,2014-08-11,181
2014-02-12,1217,議借,36,0.01,9.1,2014-08-12,181
2014-02-25,1217,議借,279,0.01,9.04,2014-08-25,181
2014-03-19,1217,議借,300,0.01,9.88,2014-09-19,184
2014-03-20,1217,議借,1330,3.0,9.82,2014-09-19,183
2014-03-21,1217,議借,400,3.0,9.75,2014-09-19,182
2014-04-01,1217,議借,1350,3.0,9.95,2014-10-01,183
2014-04-07,1217,競價,68,1.5,9.99,2014-10-07,183
2014-04-08,1217,競價,59,1.5,9.94,2014-10-08,183
2014-04-09,1217,議借,400,3.0,9.93,2014-10-09,183
2014-05-08,1217,議借,300,3.0,9.8,2014-11-07,183
2014-05-19,1217,議借,151,2.5,9.4,2014-11-19,184
2014-05-29,1217,議借,200,3.0,9.51,2014-11-28,183
2014-06-12,1217,議借,200,0.01,9.17,2014-12-12,183
2014-06-17,1217,議借,200,3.0,9.12,2014-12-17,183
2014-06-18,1217,議借,300,3.0,9.16,2014-12-18,183
2014-06-19,1217,議借,300,3.0,9.37,2014-12-19,183
2014-06-24,1217,議借,300,3.0,9.24,2014-12-24,183
2014-07-04,1217,議借,1000,3.0,9.6,2015-01-02,182
