date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2010-01-25,1104,議借,69,0.01,17.0,2010-07-23,179
2010-03-17,1104,議借,601,0.01,15.9,2010-09-17,184
2010-05-17,1104,議借,227,0.01,14.3,2010-11-17,184
2010-07-05,1104,議借,100,0.01,14.0,2011-01-04,183
2011-04-13,1104,議借,50,0.01,19.4,2011-10-13,183
2011-04-28,1104,議借,242,2.0,19.35,2011-10-28,183
2011-05-12,1104,議借,168,0.01,18.45,2011-11-11,183
2011-10-25,1104,議借,42,0.01,14.9,2012-04-25,183
2012-04-12,1104,議借,300,4.0,13.8,2012-10-12,183
2012-05-31,1104,議借,300,4.0,13.3,2012-11-30,183
2013-02-19,1104,競價,55,2.0,16.85,2013-08-19,181
2013-03-29,1104,議借,100,0.01,17.85,2013-09-27,182
2013-04-09,1104,議借,25,0.01,17.4,2013-10-09,183
2013-04-15,1104,議借,200,0.01,17.5,2013-10-15,183
2013-06-20,1104,議借,200,4.0,17.45,2013-12-20,183
2013-06-24,1104,競價,55,2.0,17.3,2013-12-24,183
2013-11-12,1104,競價,86,1.5,25.0,2014-05-12,181
2013-11-14,1104,議借,263,0.01,25.45,2014-05-14,181
2013-12-23,1104,議借,115,0.01,29.0,2014-06-23,182
2014-01-07,1104,議借,100,3.0,30.15,2014-07-07,181
2014-01-24,1104,議借,118,2.0,29.0,2014-07-24,181
2014-02-12,1104,議借,42,0.01,29.95,2014-08-12,181
2014-03-14,1104,議借,100,3.0,29.15,2014-09-12,182
2014-03-21,1104,議借,132,0.01,29.1,2014-09-19,182
2014-04-01,1104,議借,22,0.01,30.55,2014-10-01,183
2014-04-08,1104,議借,200,0.01,30.1,2014-10-08,183
2014-05-09,1104,議借,118,0.01,28.75,2014-11-07,182
2014-05-28,1104,議借,100,3.0,29.0,2014-11-28,184
2014-07-09,1104,競價,20,2.0,28.4,2015-01-09,184
2015-02-06,1104,競價,10,2.0,27.05,2015-08-06,181
2015-02-06,1104,議借,30,0.01,27.05,2015-08-06,181
2015-02-12,1104,競價,114,2.0,26.45,2015-08-12,181
2015-03-20,1104,議借,200,0.01,30.15,2015-09-18,182
2015-04-02,1104,競價,50,2.0,29.75,2015-10-02,183
2015-04-08,1104,議借,200,0.01,30.3,2015-10-08,183
2015-04-09,1104,議借,100,0.01,29.8,2015-10-08,182
2015-04-09,1104,議借,250,0.01,29.8,2015-10-08,182
2015-04-09,1104,議借,500,0.01,29.8,2015-10-08,182
2015-04-15,1104,議借,107,0.01,29.15,2015-10-15,183
2015-04-29,1104,議借,100,0.01,31.8,2015-10-29,183
2015-06-08,1104,議借,100,0.01,28.35,2015-12-08,183
2015-06-29,1104,競價,10,2.0,26.9,2015-12-29,183
2015-07-16,1104,競價,11,2.0,25.6,2016-01-15,183
2015-07-21,1104,議借,125,0.01,25.9,2016-01-21,184
2015-08-13,1104,議借,250,0.01,23.6,2016-02-12,183
2015-08-18,1104,競價,25,2.0,22.95,2016-02-18,184
2015-08-25,1104,議借,145,0.01,20.3,2016-02-25,184
2015-08-25,1104,議借,159,0.01,20.3,2016-02-25,184
2015-08-25,1104,議借,200,0.01,20.3,2016-02-25,184
2015-08-26,1104,議借,165,0.01,20.3,2016-02-26,184
2015-09-04,1104,議借,348,0.01,21.55,2016-03-04,182
2015-09-11,1104,議借,200,0.01,22.95,2016-03-11,182
2015-09-23,1104,議借,150,0.01,21.55,2016-03-23,182
2015-10-02,1104,議借,150,0.01,20.8,2016-04-01,182
2015-10-16,1104,競價,35,2.0,21.5,2016-04-15,182
2015-10-26,1104,議借,150,0.01,23.1,2016-04-26,183
2015-11-04,1104,競價,45,2.0,23.2,2016-05-04,182
2015-12-04,1104,議借,145,0.01,23.3,2016-06-04,183
2016-01-05,1104,議借,190,0.01,21.5,2016-07-05,182
2016-01-05,1104,議借,213,0.01,21.5,2016-07-05,182
2016-01-06,1104,競價,29,2.0,21.4,2016-07-06,182
2016-01-06,1104,競價,43,2.0,21.4,2016-07-06,182
2016-01-06,1104,競價,52,2.0,21.4,2016-07-06,182
2016-01-22,1104,議借,175,0.01,20.25,2016-07-22,182
2016-03-15,1104,議借,200,0.01,20.75,2016-09-14,183
2016-03-18,1104,議借,200,0.01,21.55,2016-09-14,180
2016-03-24,1104,議借,152,0.01,21.85,2016-09-23,183
2016-03-25,1104,競價,4,2.0,22.0,2016-09-23,182
2016-03-29,1104,議借,76,0.01,22.6,2016-09-29,184
2016-03-30,1104,議借,200,0.01,22.7,2016-09-30,184
2016-04-08,1104,議借,34,0.01,21.85,2016-10-07,182
2016-05-04,1104,議借,150,3.0,20.6,2016-11-04,184
2016-05-06,1104,議借,150,3.0,20.0,2016-11-04,182
2016-06-01,1104,議借,162,3.0,20.1,2016-12-01,183
2016-06-03,1104,競價,3,2.0,20.2,2016-12-02,182
2016-06-07,1104,競價,4,2.0,20.1,2016-12-07,183
2016-06-27,1104,競價,4,2.0,21.5,2016-12-27,183
2016-07-01,1104,競價,5,2.0,22.0,2016-12-30,182
2016-07-11,1104,議借,150,3.0,21.95,2017-01-11,184
2016-08-02,1104,競價,30,2.0,22.6,2017-02-02,184
2016-08-04,1104,競價,11,2.0,22.4,2017-02-03,183
2016-08-17,1104,競價,2,2.0,24.5,2017-02-17,184
2016-08-18,1104,競價,3,2.0,24.5,2017-02-17,183
2016-08-19,1104,競價,2,2.0,24.65,2017-02-17,182
2016-08-23,1104,議借,330,3.0,24.1,2017-02-23,184
2016-08-30,1104,競價,5,2.0,24.15,2017-02-24,178
2016-08-30,1104,競價,7,2.0,24.15,2017-02-24,178
2016-08-30,1104,議借,387,0.5,24.15,2017-02-28,182
2016-08-31,1104,議借,200,3.0,24.2,2017-02-28,181
2016-09-05,1104,競價,2,2.0,23.7,2017-03-03,179
2016-09-05,1104,競價,5,2.0,23.7,2017-03-03,179
2016-09-12,1104,競價,4,2.0,24.0,2017-03-10,179
2016-09-12,1104,競價,8,2.0,24.0,2017-03-10,179
2016-10-14,1104,議借,125,3.0,24.55,2017-04-14,182
2016-10-19,1104,議借,127,3.0,25.15,2017-04-19,182
2016-10-27,1104,競價,20,2.0,24.6,2017-04-27,182
2016-11-09,1104,競價,14,2.0,23.2,2017-05-09,181
2016-11-16,1104,議借,200,3.0,24.3,2017-05-16,181
2016-11-28,1104,議借,72,0.5,24.05,2017-05-26,179
2016-12-05,1104,競價,7,2.0,24.65,2017-06-05,182
2016-12-08,1104,議借,48,2.5,24.6,2017-06-08,182
2016-12-08,1104,議借,77,2.5,24.6,2017-06-08,182
2016-12-13,1104,競價,14,2.0,24.7,2017-06-13,182
2016-12-13,1104,競價,52,2.0,24.7,2017-06-13,182
2016-12-13,1104,競價,90,2.0,24.7,2017-06-13,182
2016-12-22,1104,議借,130,3.0,24.5,2017-06-22,182
2016-12-23,1104,競價,2,2.0,24.45,2017-06-23,182
2017-02-23,1104,競價,19,2.0,25.95,2017-08-23,181
2017-03-08,1104,競價,40,2.0,26.8,2017-09-08,184
2017-03-10,1104,議借,200,3.0,26.35,2017-09-08,182
2017-03-13,1104,議借,118,3.0,26.6,2017-09-13,184
2017-03-27,1104,競價,30,2.0,26.5,2017-09-27,184
2017-04-10,1104,競價,20,2.0,26.85,2017-10-06,179
2017-04-11,1104,競價,20,2.0,26.65,2017-10-11,183
2017-04-13,1104,議借,143,0.5,26.25,2017-10-13,183
2017-05-11,1104,議借,140,3.0,25.8,2017-11-10,183
2017-06-27,1104,議借,72,3.0,24.8,2017-12-27,183
2017-07-03,1104,議借,130,3.0,25.1,2018-01-03,184
2017-07-14,1104,議借,115,3.0,23.25,2018-01-12,182
2017-07-17,1104,議借,120,3.0,23.2,2018-01-17,184
2017-07-19,1104,議借,80,0.5,23.1,2018-01-19,184
2017-07-25,1104,議借,591,0.5,22.4,2018-01-25,184
