date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2011-04-13,1315,議借,200,1.5,27.5,2011-10-13,183
2011-10-25,1315,議借,49,5.0,30.5,2012-04-25,183
2012-03-06,1315,議借,110,6.0,30.55,2012-09-06,184
2012-04-05,1315,議借,150,5.0,30.8,2012-10-05,183
2012-10-19,1315,議借,49,5.0,28.6,2013-04-19,182
2013-03-01,1315,議借,50,6.0,30.05,2013-08-30,182
2013-04-02,1315,議借,150,5.0,28.6,2013-10-02,183
2013-04-11,1315,議借,150,5.0,28.55,2013-10-11,183
2013-05-06,1315,議借,100,6.0,29.4,2013-11-06,184
2014-02-19,1315,議借,100,5.0,29.1,2014-08-19,181
2014-11-07,1315,議借,100,5.0,29.4,2015-05-07,181
2015-08-26,1315,議借,153,0.01,21.55,2016-02-26,184
2015-09-10,1315,競價,73,2.5,23.0,2016-03-10,182
2016-04-27,1315,議借,125,2.5,24.45,2016-10-27,183
2016-05-05,1315,競價,41,3.0,23.25,2016-11-04,183
2016-05-23,1315,競價,34,3.0,23.55,2016-11-23,184
2016-06-17,1315,競價,43,3.0,24.3,2016-12-16,182
2016-07-07,1315,議借,132,2.5,25.25,2017-01-06,183
2016-07-27,1315,議借,1000,2.5,24.4,2017-01-27,184
2016-08-31,1315,競價,10,3.0,24.3,2017-02-24,177
2016-09-02,1315,議借,130,2.5,24.15,2017-03-02,181
2016-09-12,1315,競價,30,3.0,24.25,2017-03-10,179
2016-09-13,1315,競價,10,3.0,24.15,2017-03-13,181
2016-09-26,1315,競價,14,3.0,24.65,2017-03-24,179
2016-12-01,1315,議借,300,2.5,25.25,2017-06-01,182
2017-04-18,1315,議借,150,2.5,25.85,2017-10-18,183
2017-04-25,1315,議借,200,2.5,25.65,2017-10-25,183
2017-07-13,1315,議借,120,2.5,26.6,2018-01-12,183
2018-07-04,1315,競價,45,3.0,26.5,2019-01-04,184
2018-10-01,1315,競價,41,3.0,26.6,2019-04-01,182
2018-10-01,1315,競價,41,3.0,26.6,2019-04-01,182
