date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2005-11-09,1326,競價,300,4.0,54.2,2006-05-08,180
2006-03-31,1326,議借,3468,0.01,52.3,2006-09-27,180
2006-08-24,1326,議借,3845,0.01,46.85,2007-02-20,180
2007-03-16,1326,議借,2462,0.01,63.7,2007-09-12,180
2007-04-13,1326,議借,2831,0.01,64.2,2007-10-09,179
2007-09-06,1326,競價,120,3.0,81.4,2008-03-05,181
2007-10-03,1326,議借,200,0.01,89.4,2008-03-28,177
2007-10-05,1326,議借,328,0.01,89.8,2008-04-02,180
2007-10-31,1326,議借,138,0.01,87.0,2008-04-28,180
2007-11-23,1326,議借,4144,0.01,79.5,2008-05-22,181
2007-11-28,1326,議借,230,0.01,80.0,2008-05-28,182
2007-12-10,1326,議借,3030,0.01,82.6,2008-06-06,179
2007-12-13,1326,議借,330,0.01,81.0,2008-06-10,180
2007-12-21,1326,議借,3030,0.01,78.9,2008-06-20,182
2007-12-31,1326,議借,57,0.01,83.0,2008-06-27,179
2008-01-04,1326,議借,144,0.01,81.2,2008-07-02,180
2008-01-10,1326,議借,200,0.01,84.3,2008-07-08,180
2008-01-25,1326,議借,3000,2.0,76.5,2008-07-23,180
2008-01-25,1326,議借,3400,2.0,76.5,2008-07-23,180
2008-02-01,1326,競價,136,3.0,68.8,2008-07-31,181
2008-02-01,1326,競價,190,3.0,68.8,2008-07-31,181
2008-02-01,1326,競價,200,3.0,68.8,2008-07-31,181
2008-02-01,1326,競價,1850,3.0,68.8,2008-07-31,181
2008-02-01,1326,議借,1200,2.0,68.8,2008-07-30,180
2008-02-01,1326,議借,3000,2.0,68.8,2008-07-30,180
2008-02-29,1326,議借,180,0.01,76.5,2008-08-27,180
2008-03-11,1326,議借,2000,0.01,76.9,2008-09-10,183
2008-03-14,1326,議借,2000,2.0,74.9,2008-09-10,180
2008-03-14,1326,議借,2200,0.01,74.9,2008-09-10,180
2008-03-17,1326,議借,500,2.0,73.9,2008-09-12,179
2008-03-18,1326,議借,2600,2.0,75.5,2008-09-17,183
2008-03-21,1326,競價,350,4.0,80.5,2008-09-19,182
2008-03-27,1326,議借,1000,2.0,82.0,2008-09-22,179
2008-03-27,1326,議借,1100,2.0,82.0,2008-09-22,179
2008-03-28,1326,競價,2000,5.0,81.3,2008-09-26,182
2008-04-01,1326,競價,100,3.0,78.8,2008-09-30,182
2008-04-03,1326,議借,3000,0.01,79.3,2008-09-30,180
2008-04-07,1326,議借,450,2.0,80.0,2008-10-03,179
2008-04-08,1326,競價,3000,5.0,80.3,2008-10-07,182
