date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2006-10-24,1319,議借,84,0.01,25.7,2007-04-23,181
2006-12-13,1319,議借,200,3.25,23.65,2007-06-11,180
2006-12-21,1319,議借,200,0.01,25.25,2007-06-20,181
2007-01-17,1319,議借,703,0.01,28.6,2007-07-16,180
2008-07-18,1319,議借,75,0.01,20.7,2009-01-14,180
2008-09-03,1319,議借,120,0.01,19.9,2009-02-27,177
2009-08-18,1319,議借,26,10.0,36.0,2010-02-12,178
2009-10-21,1319,議借,50,1.5,50.8,2010-04-20,181
2009-11-24,1319,議借,20,2.0,55.5,2010-05-21,178
2010-01-26,1319,議借,45,0.01,48.25,2010-07-26,181
2010-02-05,1319,議借,500,0.01,46.7,2010-08-05,181
2010-02-05,1319,議借,700,0.01,46.7,2010-08-05,181
2010-02-23,1319,議借,426,0.01,49.5,2010-08-23,181
2010-03-02,1319,議借,500,0.01,51.3,2010-09-01,183
2010-03-12,1319,議借,30,1.5,53.2,2010-09-10,182
2010-03-17,1319,議借,25,1.5,53.7,2010-09-16,183
2010-04-16,1319,競價,200,4.0,58.3,2010-10-15,182
2010-05-06,1319,議借,1100,0.01,48.3,2010-11-05,183
2010-05-27,1319,議借,10,1.5,50.0,2010-11-26,183
2010-05-27,1319,議借,25,1.5,50.0,2010-11-26,183
2010-06-22,1319,議借,25,1.5,48.1,2010-12-21,182
2010-08-05,1319,議借,950,0.01,51.1,2011-02-04,183
2010-08-13,1319,議借,960,0.01,52.9,2011-02-11,182
2010-08-25,1319,議借,35,3.0,54.7,2011-02-21,180
2010-08-26,1319,議借,10,3.0,54.7,2011-02-22,180
2010-09-21,1319,議借,100,0.01,50.4,2011-03-21,181
2010-11-18,1319,議借,150,0.01,45.3,2011-05-18,181
2010-11-18,1319,議借,300,0.01,45.3,2011-05-18,181
2010-11-19,1319,議借,150,0.01,45.0,2011-05-19,181
2011-01-19,1319,議借,25,0.5,42.35,2011-07-18,180
