date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2011-04-13,1108,議借,500,1.5,7.41,2011-10-13,183
2014-01-24,1108,議借,19,2.0,8.17,2014-07-24,181
2014-04-03,1108,議借,300,2.0,9.4,2014-10-03,183
2014-05-19,1108,議借,202,2.5,8.87,2014-11-19,184
2015-03-20,1108,議借,502,0.01,11.6,2015-09-18,182
2015-08-26,1108,議借,347,0.01,9.85,2016-02-26,184
2016-03-15,1108,議借,502,0.01,9.92,2016-09-14,183
2016-04-28,1108,議借,331,2.5,10.2,2016-10-28,183
2016-05-05,1108,競價,50,3.5,10.1,2016-11-04,183
2016-07-13,1108,議借,313,2.5,10.25,2017-01-13,184
2016-08-09,1108,競價,50,3.5,9.26,2017-02-09,184
2017-03-10,1108,議借,371,2.5,9.92,2017-09-08,182
2017-04-26,1108,議借,300,2.5,9.73,2017-10-26,183
2017-07-10,1108,議借,325,2.5,9.42,2018-01-10,184
2017-07-13,1108,議借,330,2.5,9.38,2018-01-12,183
2018-10-25,1108,議借,430,2.5,7.18,2019-04-25,182
2018-10-25,1108,議借,430,2.5,7.18,2019-04-25,182
2019-02-15,1108,競價,53,3.5,7.38,2019-08-15,181
2019-02-15,1108,競價,53,3.5,7.38,2019-08-15,181
2020-05-27,1108,議借,400,3.5,9.0,2020-11-27,184
2020-08-13,1108,議借,391,3.5,9.97,2021-02-12,183
2020-08-13,1108,議借,391,3.5,9.97,2021-02-12,183
2020-09-07,1108,議借,320,3.4,11.7,2021-03-05,179
2020-09-07,1108,議借,320,3.4,11.7,2021-03-05,179
2020-09-24,1108,議借,300,2.75,11.0,2021-03-24,181
2020-10-15,1108,議借,265,3.2,11.8,2021-04-15,182
2020-10-15,1108,議借,265,3.2,11.8,2021-04-15,182
2020-11-12,1108,議借,262,3.25,11.9,2021-05-12,181
2020-11-20,1108,議借,265,3.5,11.2,2021-05-20,181
2021-01-22,1108,議借,317,4.0,10.7,2021-07-22,181
2021-01-22,1108,議借,270,6.0,10.7,2021-07-22,181
2021-04-19,1108,議借,182,3.2,17.1,2021-10-19,183
2021-04-20,1108,競價,2,2.0,17.35,2021-10-20,183
2021-04-20,1108,議借,200,4.0,17.35,2021-10-20,183
2021-04-20,1108,議借,222,3.25,17.35,2021-10-20,183
2021-04-27,1108,議借,93,4.0,17.0,2021-10-27,183
