,stock_id,stock_name,ISIN_Code,Listing_date,Listing_category,Industry_category,CFICode
0,1101,台泥,TW0001101004,1962-02-09,上市,水泥工業,ESVUFR
1,1102,亞泥,TW0001102002,1962-06-08,上市,水泥工業,ESVUFR
2,1103,嘉泥,TW0001103000,1969-11-14,上市,水泥工業,ESVUFR
3,1104,環泥,TW0001104008,1971-02-01,上市,水泥工業,ESVUFR
4,1108,幸福,TW0001108009,1990-06-06,上市,水泥工業,ESVUFR
5,1109,信大,TW0001109007,1991-12-05,上市,水泥工業,ESVUFR
6,1110,東泥,TW0001110005,1994-10-22,上市,水泥工業,ESVUFR
7,1201,味全,TW0001201002,1962-02-09,上市,食品工業,ESVUFR
8,1203,味王,TW0001203008,1964-08-24,上市,食品工業,ESVUFR
9,1210,大成,TW0001210003,1978-05-20,上市,食品工業,ESVUFR
10,1213,大飲,TW0001213007,1981-04-10,上市,食品工業,ESVUFR
11,1215,卜蜂,TW0001215002,1987-07-27,上市,食品工業,ESVUFR
12,1216,統一,TW0001216000,1987-12-28,上市,食品工業,ESVUFR
13,1217,愛之味,TW0001217008,1989-10-28,上市,食品工業,ESVUFR
14,1218,泰山,TW0001218006,1989-11-11,上市,食品工業,ESVUFR
15,1219,福壽,TW0001219004,1990-12-01,上市,食品工業,ESVUFR
16,1220,台榮,TW0001220002,1991-11-20,上市,食品工業,ESVUFR
17,1225,福懋油,TW0001225001,1993-09-27,上市,食品工業,ESVUFR
18,1227,佳格,TW0001227007,1994-04-09,上市,食品工業,ESVUFR
19,1229,聯華,TW0001229003,1976-07-19,上市,食品工業,ESVUFR
20,1231,聯華食,TW0001231009,1995-11-02,上市,食品工業,ESVUFR
21,1232,大統益,TW0001232007,1996-02-09,上市,食品工業,ESVUFR
22,1233,天仁,TW0001233005,1999-01-20,上市,食品工業,ESVUFR
23,1234,黑松,TW0001234003,1999-03-12,上市,食品工業,ESVUFR
24,1235,興泰,TW0001235000,2000-09-11,上市,食品工業,ESVUFR
25,1236,宏亞,TW0001236008,2001-09-17,上市,食品工業,ESVUFR
26,1256,鮮活果汁-KY,KYG858681003,2016-03-17,上市,食品工業,ESVUFR
27,1301,台塑,TW0001301000,1964-07-27,上市,塑膠工業,ESVUFR
28,1303,南亞,TW0001303006,1967-11-05,上市,塑膠工業,ESVUFR
29,1304,台聚,TW0001304004,1972-05-20,上市,塑膠工業,ESVUFR
30,1305,華夏,TW0001305001,1973-03-05,上市,塑膠工業,ESVUFR
31,1307,三芳,TW0001307007,1985-11-23,上市,塑膠工業,ESVUFR
32,1308,亞聚,TW0001308005,1986-06-20,上市,塑膠工業,ESVUFR
33,1309,台達化,TW0001309003,1986-06-27,上市,塑膠工業,ESVUFR
34,1310,台苯,TW0001310001,1987-08-06,上市,塑膠工業,ESVUFR
35,1312,國喬,TW0001312007,1988-12-21,上市,塑膠工業,ESVUFR
36,1313,聯成,TW0001313005,1989-03-27,上市,塑膠工業,ESVUFR
37,1314,中石化,TW0001314003,1991-07-12,上市,塑膠工業,ESVUFR
38,1315,達新,TW0001315000,1992-05-09,上市,塑膠工業,ESVUFR
39,1316,上曜,TW0001316008,1992-10-15,上市,建材營造業,ESVUFR
40,1319,東陽,TW0001319002,1994-12-12,上市,汽車工業,ESVUFR
41,1321,大洋,TW0001321008,1999-01-26,上市,塑膠工業,ESVUFR
42,1323,永裕,TW0001323004,2000-09-11,上市,塑膠工業,ESVUFR
43,1324,地球,TW0001324002,2000-09-11,上市,塑膠工業,ESVUFR
44,1325,恆大,TW0001325009,2000-09-11,上市,塑膠工業,ESVUFR
45,1326,台化,TW0001326007,1984-12-20,上市,塑膠工業,ESVUFR
46,1337,再生-KY,KYG0539R1039,2011-07-01,上市,塑膠工業,ESVUFR
47,1338,廣華-KY,KYG451001070,2012-12-19,上市,汽車工業,ESVUFR
48,1339,昭輝,TW0001339000,2012-04-24,上市,汽車工業,ESVUFR
49,1340,勝悅-KY,KYG935971054,2013-12-06,上市,塑膠工業,ESVUFR
50,1341,富林-KY,KYG3730M1050,2018-12-24,上市,塑膠工業,ESVUFR
51,1342,八貫,TW0001342004,2020-11-24,上市,其他業,ESVUFR
52,1402,遠東新,TW0001402006,1967-04-14,上市,紡織纖維,ESVUFR
53,1409,新纖,TW0001409001,1973-08-31,上市,紡織纖維,ESVUFR
54,1410,南染,TW0001410009,1973-10-18,上市,紡織纖維,ESVUFR
55,1413,宏洲,TW0001413003,1975-12-23,上市,紡織纖維,ESVUFR
56,1414,東和,TW0001414001,1976-02-02,上市,紡織纖維,ESVUFR
57,1416,廣豐,TW0001416006,1976-04-20,上市,其他業,ESVUFR
58,1417,嘉裕,TW0001417004,1976-12-28,上市,紡織纖維,ESVUFR
59,1418,東華,TW0001418002,1977-02-14,上市,紡織纖維,ESVUFR
60,1419,新紡,TW0001419000,1977-03-14,上市,紡織纖維,ESVUFR
61,1423,利華,TW0001423002,1979-04-02,上市,紡織纖維,ESVUFR
62,1432,大魯閣,TW0001432003,1982-07-26,上市,貿易百貨業,ESVUFR
63,1434,福懋,TW0001434009,1985-12-24,上市,紡織纖維,ESVUFR
64,1435,中福,TW0001435006,1987-12-28,上市,其他業,ESVUFR
65,1436,華友聯,TW0001436004,1988-04-11,上市,建材營造業,ESVUFR
66,1437,勤益控,TW0001437002,1988-11-10,上市,其他業,ESVUFR
67,1438,三地開發,TW0001438000,1988-12-15,上市,建材營造業,ESVUFR
68,1439,中和,TW0001439008,1989-05-22,上市,紡織纖維,ESVUFR
69,1440,南紡,TW0001440006,1989-10-03,上市,紡織纖維,ESVUFR
70,1441,大東,TW0001441004,1989-10-27,上市,紡織纖維,ESVUFR
71,1442,名軒,TW0001442002,1989-11-16,上市,建材營造業,ESVUFR
72,1443,立益,TW0001443000,1990-04-21,上市,紡織纖維,ESVUFR
73,1444,力麗,TW0001444008,1990-08-08,上市,紡織纖維,ESVUFR
74,1445,大宇,TW0001445005,1991-02-05,上市,紡織纖維,ESVUFR
75,1446,宏和,TW0001446003,1991-10-15,上市,紡織纖維,ESVUFR
76,1447,力鵬,TW0001447001,1992-01-28,上市,紡織纖維,ESVUFR
77,1449,佳和,TW0001449007,1992-03-12,上市,紡織纖維,ESVUFR
78,1451,年興,TW0001451003,1992-12-21,上市,紡織纖維,ESVUFR
79,1452,宏益,TW0001452001,1992-12-28,上市,紡織纖維,ESVUFR
80,1453,大將,TW0001453009,1993-04-19,上市,紡織纖維,ESVUFR
81,1454,台富,TW0001454007,1993-05-07,上市,紡織纖維,ESVUFR
82,1455,集盛,TW0001455004,1993-10-07,上市,紡織纖維,ESVUFR
83,1456,怡華,TW0001456002,1993-12-09,上市,紡織纖維,ESVUFR
84,1457,宜進,TW0001457000,1994-10-20,上市,紡織纖維,ESVUFR
85,1459,聯發,TW0001459006,1994-10-26,上市,紡織纖維,ESVUFR
86,1460,宏遠,TW0001460004,1995-04-28,上市,紡織纖維,ESVUFR
87,1463,強盛,TW0001463008,1996-12-05,上市,紡織纖維,ESVUFR
88,1464,得力,TW0001464006,1997-01-18,上市,紡織纖維,ESVUFR
89,1465,偉全,TW0001465003,1997-09-08,上市,紡織纖維,ESVUFR
90,1466,聚隆,TW0001466001,1998-04-04,上市,紡織纖維,ESVUFR
91,1467,南緯,TW0001467009,1998-12-21,上市,紡織纖維,ESVUFR
92,1468,昶和,TW0001468007,1999-01-21,上市,紡織纖維,ESVUFR
93,1470,大統新創,TW0001470003,1999-05-21,上市,紡織纖維,ESVUFR
