date,stock_id,type,value,origin_name
2012-06-30,1409,EquityAttributableToOwnersOfParent,22800300000.0,歸屬於母公司業主之權益合計
2012-06-30,1409,EquityAttributableToOwnersOfParent_per,21.34,歸屬於母公司業主之權益合計
2012-06-30,1409,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2012-06-30,1409,IntangibleAssets,634693000.0,無形資產
2012-06-30,1409,Inventories,5849720000.0,存貨
2012-06-30,1409,Inventories_per,5.47,存貨
2012-06-30,1409,LegalReserve,488568000.0,法定盈餘公積
2012-06-30,1409,LegalReserve_per,0.46,法定盈餘公積
2012-06-30,1409,Liabilities,67002200000.0,負債總額
2012-06-30,1409,Liabilities_per,63.0,負債總額
2012-06-30,1409,LongtermBorrowings,7936290000.0,長期借款
2012-06-30,1409,LongtermBorrowings_per,7.43,長期借款
2012-06-30,1409,NoncontrollingInterests,6462480000.0,非控制權益
2012-06-30,1409,NoncontrollingInterests_per,6.05,非控制權益
2012-06-30,1409,NoncurrentAssets,35601200000.0,非流動資產合計
2012-06-30,1409,NoncurrentAssets_per,33.32,非流動資產合計
2012-06-30,1409,NoncurrentLiabilities,10580300000.0,非流動負債合計
2012-06-30,1409,NoncurrentLiabilities_per,9.9,非流動負債合計
2012-06-30,1409,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,91586500.0,母公司暨子公司所持有之母公司庫藏股股數
2012-06-30,1409,OrdinaryShare,18282100000.0,普通股股本
2012-06-30,1409,OrdinaryShare_per,17.11,普通股股本
2012-06-30,1409,OtherCurrentAssets,15510000.0,其他流動資產
2012-06-30,1409,OtherCurrentAssets_per,0.01,其他流動資產
2012-06-30,1409,OtherCurrentLiabilities,310787000.0,其他流動負債
2012-06-30,1409,OtherCurrentLiabilities_per,0.29,其他流動負債
2012-06-30,1409,OtherEquityInterest,303712000.0,其他權益合計
2012-06-30,1409,OtherEquityInterest_per,0.28,其他權益合計
2012-06-30,1409,RetainedEarnings,4698490000.0,保留盈餘合計
2012-06-30,1409,RetainedEarnings_per,4.4,保留盈餘合計
2012-06-30,1409,ShorttermBorrowings,5680590000.0,短期借款
2012-06-30,1409,ShorttermBorrowings_per,5.32,短期借款
2012-06-30,1409,TotalAssets,106845000000.0,資產總額
2012-06-30,1409,TotalAssets_per,100.0,資產總額
2012-06-30,1409,UnappropriatedRetainedEarningsAaccumulatedDeficit,3551780000.0,未分配盈餘
2012-06-30,1409,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,3.0,未分配盈餘
2012-09-30,1409,CapitalStock,17604800000.0,股本合計
2012-09-30,1409,CapitalStock_per,16.3,股本合計
2012-09-30,1409,CapitalSurplus,1130400000.0,資本公積合計
2012-09-30,1409,CapitalSurplus_per,1.05,資本公積合計
2012-09-30,1409,CapitalSurplusAdditionalPaidInCapital,452133000.0,資本公積－發行溢價
2012-09-30,1409,CapitalSurplusAdditionalPaidInCapital_per,0.42,資本公積－發行溢價
2012-09-30,1409,CashAndCashEquivalents,3827720000.0,現金及約當現金
2012-09-30,1409,CashAndCashEquivalents_per,3.54,現金及約當現金
2012-09-30,1409,CurrentAssets,72509600000.0,流動資產合計
2012-09-30,1409,CurrentAssets_per,67.14,流動資產合計
2012-09-30,1409,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,1061640000.0,透過損益按公允價值衡量之金融資產－流動
2012-09-30,1409,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.98,透過損益按公允價值衡量之金融資產－流動
2012-09-30,1409,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,6703000.0,透過損益按公允價值衡量之金融負債－流動
2012-09-30,1409,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.01,透過損益按公允價值衡量之金融負債－流動
2012-09-30,1409,CurrentTaxLiabilities,202279000.0,當期所得稅負債
2012-09-30,1409,CurrentTaxLiabilities_per,0.19,當期所得稅負債
2012-09-30,1409,Equity,29802400000.0,權益總額
2012-09-30,1409,Equity_per,27.59,權益總額
2012-09-30,1409,EquityAttributableToOwnersOfParent,23163400000.0,歸屬於母公司業主之權益合計
2012-09-30,1409,EquityAttributableToOwnersOfParent_per,21.45,歸屬於母公司業主之權益合計
2012-09-30,1409,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2012-09-30,1409,IntangibleAssets,637681000.0,無形資產
2012-09-30,1409,Inventories,5719020000.0,存貨
2012-09-30,1409,Inventories_per,5.3,存貨
2012-09-30,1409,LegalReserve,488568000.0,法定盈餘公積
2012-09-30,1409,LegalReserve_per,0.45,法定盈餘公積
2012-09-30,1409,Liabilities,67858800000.0,負債總額
2012-09-30,1409,Liabilities_per,63.0,負債總額
2012-09-30,1409,LongtermBorrowings,7757950000.0,長期借款
2012-09-30,1409,LongtermBorrowings_per,7.18,長期借款
2012-09-30,1409,NoncontrollingInterests,6639060000.0,非控制權益
2012-09-30,1409,NoncontrollingInterests_per,6.15,非控制權益
2012-09-30,1409,NoncurrentAssets,35493200000.0,非流動資產合計
2012-09-30,1409,NoncurrentAssets_per,32.86,非流動資產合計
2012-09-30,1409,NoncurrentLiabilities,10341600000.0,非流動負債合計
2012-09-30,1409,NoncurrentLiabilities_per,9.58,非流動負債合計
2012-09-30,1409,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,37163500.0,母公司暨子公司所持有之母公司庫藏股股數
2012-09-30,1409,OrdinaryShare,17604800000.0,普通股股本
2012-09-30,1409,OrdinaryShare_per,16.3,普通股股本
2012-09-30,1409,OtherCurrentAssets,72878000.0,其他流動資產
2012-09-30,1409,OtherCurrentAssets_per,0.07,其他流動資產
2012-09-30,1409,OtherCurrentLiabilities,387485000.0,其他流動負債
2012-09-30,1409,OtherCurrentLiabilities_per,0.36,其他流動負債
2012-09-30,1409,OtherEquityInterest,164300000.0,其他權益合計
2012-09-30,1409,OtherEquityInterest_per,0.15,其他權益合計
2012-09-30,1409,RetainedEarnings,4947440000.0,保留盈餘合計
2012-09-30,1409,RetainedEarnings_per,4.58,保留盈餘合計
2012-09-30,1409,ShorttermBorrowings,5512930000.0,短期借款
2012-09-30,1409,ShorttermBorrowings_per,5.1,短期借款
2012-09-30,1409,TotalAssets,108003000000.0,資產總額
2012-09-30,1409,TotalAssets_per,100.0,資產總額
2012-09-30,1409,UnappropriatedRetainedEarningsAaccumulatedDeficit,3800730000.0,未分配盈餘
2012-09-30,1409,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,4.0,未分配盈餘
2012-12-31,1409,CapitalStock,17604800000.0,股本合計
2012-12-31,1409,CapitalStock_per,15.94,股本合計
2012-12-31,1409,CapitalSurplus,1139190000.0,資本公積合計
2012-12-31,1409,CapitalSurplus_per,1.03,資本公積合計
2012-12-31,1409,CapitalSurplusAdditionalPaidInCapital,452133000.0,資本公積－發行溢價
2012-12-31,1409,CapitalSurplusAdditionalPaidInCapital_per,0.41,資本公積－發行溢價
2012-12-31,1409,CashAndCashEquivalents,4216030000.0,現金及約當現金
2012-12-31,1409,CashAndCashEquivalents_per,3.82,現金及約當現金
2012-12-31,1409,CurrentAssets,75153100000.0,流動資產合計
2012-12-31,1409,CurrentAssets_per,68.07,流動資產合計
2012-12-31,1409,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,1045370000.0,透過損益按公允價值衡量之金融資產－流動
2012-12-31,1409,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.95,透過損益按公允價值衡量之金融資產－流動
2012-12-31,1409,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,2938000.0,透過損益按公允價值衡量之金融負債－流動
2012-12-31,1409,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2012-12-31,1409,CurrentTaxLiabilities,299091000.0,當期所得稅負債
2012-12-31,1409,CurrentTaxLiabilities_per,0.27,當期所得稅負債
2012-12-31,1409,Equity,30174000000.0,權益總額
2012-12-31,1409,Equity_per,27.33,權益總額
2012-12-31,1409,EquityAttributableToOwnersOfParent,23493000000.0,歸屬於母公司業主之權益合計
2012-12-31,1409,EquityAttributableToOwnersOfParent_per,21.28,歸屬於母公司業主之權益合計
2012-12-31,1409,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2012-12-31,1409,IntangibleAssets,641175000.0,無形資產
2012-12-31,1409,Inventories,5672080000.0,存貨
2012-12-31,1409,Inventories_per,5.14,存貨
2012-12-31,1409,LegalReserve,488568000.0,法定盈餘公積
2012-12-31,1409,LegalReserve_per,0.44,法定盈餘公積
2012-12-31,1409,Liabilities,70193400000.0,負債總額
2012-12-31,1409,Liabilities_per,64.0,負債總額
2012-12-31,1409,LongtermBorrowings,7456940000.0,長期借款
2012-12-31,1409,LongtermBorrowings_per,6.75,長期借款
2012-12-31,1409,NoncontrollingInterests,6680930000.0,非控制權益
2012-12-31,1409,NoncontrollingInterests_per,6.05,非控制權益
2012-12-31,1409,NoncurrentAssets,35258000000.0,非流動資產合計
2012-12-31,1409,NoncurrentAssets_per,31.93,非流動資產合計
2012-12-31,1409,NoncurrentLiabilities,10043700000.0,非流動負債合計
2012-12-31,1409,NoncurrentLiabilities_per,9.1,非流動負債合計
2012-12-31,1409,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,37163500.0,母公司暨子公司所持有之母公司庫藏股股數
2012-12-31,1409,OrdinaryShare,17604800000.0,普通股股本
2012-12-31,1409,OrdinaryShare_per,15.94,普通股股本
2012-12-31,1409,OtherCurrentAssets,21574000.0,其他流動資產
