date,stock_id,type,value,origin_name
2012-03-31,1444,AccountsPayable,900351000.0,應付帳款
2012-03-31,1444,AccountsPayable_per,5.17,應付帳款
2012-03-31,1444,AccountsPayableToRelatedParties,124715000.0,應付帳款－關係人
2012-03-31,1444,AccountsPayableToRelatedParties_per,0.72,應付帳款－關係人
2012-03-31,1444,AccountsReceivableDuefromRelatedPartiesNet,100053000.0,應收帳款－關係人淨額
2012-03-31,1444,AccountsReceivableDuefromRelatedPartiesNet_per,0.58,應收帳款－關係人淨額
2012-03-31,1444,AccountsReceivableNet,1156410000.0,應收帳款淨額
2012-03-31,1444,AccountsReceivableNet_per,6.65,應收帳款淨額
2012-03-31,1444,CapitalStock,8851620000.0,股本合計
2012-03-31,1444,CapitalStock_per,50.87,股本合計
2012-03-31,1444,CapitalSurplus,270198000.0,資本公積合計
2012-03-31,1444,CapitalSurplus_per,1.55,資本公積合計
2012-03-31,1444,CashAndCashEquivalents,364076000.0,現金及約當現金
2012-03-31,1444,CashAndCashEquivalents_per,2.09,現金及約當現金
2012-03-31,1444,CurrentAssets,7852370000.0,流動資產合計
2012-03-31,1444,CurrentAssets_per,45.13,流動資產合計
2012-03-31,1444,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,2372880000.0,透過損益按公允價值衡量之金融資產－流動
2012-03-31,1444,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,13.64,透過損益按公允價值衡量之金融資產－流動
2012-03-31,1444,CurrentLiabilities,3939000000.0,流動負債合計
2012-03-31,1444,CurrentLiabilities_per,22.64,流動負債合計
2012-03-31,1444,CurrentTaxLiabilities,78405000.0,當期所得稅負債
2012-03-31,1444,CurrentTaxLiabilities_per,0.45,當期所得稅負債
2012-03-31,1444,DeferredTaxAssets,105890000.0,遞延所得稅資產
2012-03-31,1444,DeferredTaxAssets_per,0.61,遞延所得稅資產
2012-03-31,1444,Equity,12178700000.0,權益總額
2012-03-31,1444,Equity_per,70.0,權益總額
2012-03-31,1444,EquityAttributableToOwnersOfParent,11360100000.0,歸屬於母公司業主之權益合計
2012-03-31,1444,EquityAttributableToOwnersOfParent_per,65.29,歸屬於母公司業主之權益合計
2012-03-31,1444,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2012-03-31,1444,IntangibleAssets,10361000.0,無形資產
2012-03-31,1444,IntangibleAssets_per,0.06,無形資產
2012-03-31,1444,Inventories,3445000000.0,存貨
2012-03-31,1444,Inventories_per,19.8,存貨
2012-03-31,1444,InvestmentAccountedForUsingEquityMethod,4441510000.0,採用權益法之投資淨額
2012-03-31,1444,InvestmentAccountedForUsingEquityMethod_per,25.53,採用權益法之投資淨額
2012-03-31,1444,LegalReserve,198815000.0,法定盈餘公積
2012-03-31,1444,LegalReserve_per,1.14,法定盈餘公積
2012-03-31,1444,Liabilities,5220340000.0,負債總額
2012-03-31,1444,Liabilities_per,30.0,負債總額
2012-03-31,1444,LongtermBorrowings,881576000.0,長期借款
2012-03-31,1444,LongtermBorrowings_per,5.07,長期借款
2012-03-31,1444,NoncontrollingInterests,818624000.0,非控制權益
2012-03-31,1444,NoncontrollingInterests_per,4.7,非控制權益
2012-03-31,1444,NoncurrentAssets,9546720000.0,非流動資產合計
2012-03-31,1444,NoncurrentAssets_per,54.87,非流動資產合計
2012-03-31,1444,NoncurrentLiabilities,1281350000.0,非流動負債合計
2012-03-31,1444,NoncurrentLiabilities_per,7.36,非流動負債合計
2012-03-31,1444,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,9961180.0,母公司暨子公司所持有之母公司庫藏股股數
2012-03-31,1444,OrdinaryShare,8851620000.0,普通股股本
2012-03-31,1444,OrdinaryShare_per,50.87,普通股股本
2012-03-31,1444,OtherCurrentAssets,64458000.0,其他流動資產
2012-03-31,1444,OtherCurrentAssets_per,0.37,其他流動資產
2012-03-31,1444,OtherCurrentLiabilities,400334000.0,其他流動負債
2012-03-31,1444,OtherCurrentLiabilities_per,2.3,其他流動負債
2012-03-31,1444,OtherEquityInterest,214226000.0,其他權益合計
2012-03-31,1444,OtherEquityInterest_per,1.23,其他權益合計
2012-03-31,1444,OtherNoncurrentAssets,350100000.0,其他非流動資產
2012-03-31,1444,OtherNoncurrentAssets_per,2.01,其他非流動資產
2012-03-31,1444,OtherNoncurrentLiabilities,303118000.0,其他非流動負債
2012-03-31,1444,OtherNoncurrentLiabilities_per,1.74,其他非流動負債
2012-03-31,1444,OtherPayables,337334000.0,其他應付款
2012-03-31,1444,OtherPayables_per,1.94,其他應付款
2012-03-31,1444,OtherReceivablesDueFromRelatedParties,60000000.0,其他應收款－關係人淨額
2012-03-31,1444,OtherReceivablesDueFromRelatedParties_per,0.34,其他應收款－關係人淨額
2012-03-31,1444,PropertyPlantAndEquipment,4633620000.0,不動產、廠房及設備
2012-03-31,1444,PropertyPlantAndEquipment_per,26.63,不動產、廠房及設備
