date,stock_id,type,value,origin_name
2012-03-31,1453,AccountsPayable,9282000.0,應付帳款
2012-03-31,1453,AccountsPayable_per,0.83,應付帳款
2012-03-31,1453,AccountsReceivableNet,34594000.0,應收帳款淨額
2012-03-31,1453,AccountsReceivableNet_per,3.1,應收帳款淨額
2012-03-31,1453,CapitalStock,744450000.0,股本合計
2012-03-31,1453,CapitalStock_per,66.74,股本合計
2012-03-31,1453,CapitalSurplus,405000.0,資本公積合計
2012-03-31,1453,CapitalSurplus_per,0.04,資本公積合計
2012-03-31,1453,CapitalSurplusAdditionalPaidInCapital,405000.0,資本公積－發行溢價
2012-03-31,1453,CapitalSurplusAdditionalPaidInCapital_per,0.04,資本公積－發行溢價
2012-03-31,1453,CashAndCashEquivalents,24911000.0,現金及約當現金
2012-03-31,1453,CashAndCashEquivalents_per,2.23,現金及約當現金
2012-03-31,1453,CurrentAssets,680020000.0,流動資產合計
2012-03-31,1453,CurrentAssets_per,60.96,流動資產合計
2012-03-31,1453,CurrentAvailableForSaleFinancialAssets,48773000.0,備供出售金融資產－流動淨額
2012-03-31,1453,CurrentAvailableForSaleFinancialAssets_per,4.37,備供出售金融資產－流動淨額
2012-03-31,1453,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,20779000.0,透過損益按公允價值衡量之金融資產－流動
2012-03-31,1453,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,1.86,透過損益按公允價值衡量之金融資產－流動
2012-03-31,1453,CurrentLiabilities,223417000.0,流動負債合計
2012-03-31,1453,CurrentLiabilities_per,20.03,流動負債合計
2012-03-31,1453,CurrentTaxLiabilities,655000.0,當期所得稅負債
2012-03-31,1453,CurrentTaxLiabilities_per,0.06,當期所得稅負債
2012-03-31,1453,Equity,837142000.0,權益總額
2012-03-31,1453,Equity_per,75.05,權益總額
2012-03-31,1453,EquityAttributableToOwnersOfParent,819594000.0,歸屬於母公司業主之權益合計
2012-03-31,1453,EquityAttributableToOwnersOfParent_per,73.48,歸屬於母公司業主之權益合計
