date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2008-09-01,1445,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2008-08-26,,1486620.0,0.0,0.0,0.0,2229930.0,0.0,2008-08-11,10:34:28
2009-07-24,1445,97年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20846599340438843,0.0,2009-07-16,,498211.0,0.0,0.0,0.0,747317.0,0.0,2009-06-30,17:29:36
2010-07-24,1445,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20444799959659576,0.0,2010-07-16,,786019.0,0.0,0.0,0.0,1179030.0,0.0,2010-06-28,11:05:08
2011-07-26,1445,99年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2011-07-20,,2002590.0,0.0,0.0,0.0,3003880.0,0.0,2011-06-30,18:13:17
2012-07-24,1445,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2012-07-18,,1862960.0,0.0,0.0,0.0,2794440.0,0.0,2012-06-21,16:51:05
2013-07-22,1445,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2013-07-16,,418935.0,0.0,0.0,0.0,628402.0,0.0,2013-07-01,10:11:49
2014-07-14,1445,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2014-07-08,,1175190.0,0.0,0.0,0.0,1762790.0,0.0,2014-06-17,17:33:36
2015-07-21,1445,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2015-07-15,2015-08-12,523149.0,0.0,0.0,0.0,784723.0,0.0,2015-06-25,17:00:51
2016-07-20,1445,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2016-07-14,2016-08-12,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-28,11:12:49
2017-07-12,1445,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2017-07-06,2017-08-11,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-16,17:19:01
2018-08-27,1445,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,2018-08-21,2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-02,16:39:41
2019-08-27,1445,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,2019-08-21,2019-09-12,0.0,0.0,0.0,0.0,0.0,132667034.0,2019-08-06,17:06:38
2020-08-29,1445,108年,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.20306276,2020-08-21,2020-09-11,0.0,0.0,0.0,0.0,0.0,130666034.0,2020-08-05,17:42:53
