date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2008-07-30,1444,97年,0.0,0.5,2008-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2008-07-09,11:37:37
2010-07-26,1444,99年,0.0,0.20075200498104095,2010-07-20,0.0,0.0,0.0,0.0,0.8030080199241638,0.0,2010-07-20,,12287500.0,0.0,0.0,0.0,1287520.0,0.0,2010-07-05,09:47:04
2011-08-08,1444,100年,1.2999999523162842,0.0,2011-08-02,0.0,0.0,0.0,0.0,0.5,0.0,2011-08-02,,28199900.0,0.0,0.0,0.0,28199900.0,0.0,2011-07-18,13:53:37
2012-08-10,1444,100年,0.30000001192092896,0.0,2012-08-02,0.0,0.0,0.0,0.0,0.5,0.0,2012-08-02,,14162600.0,0.0,0.0,0.0,14162600.0,0.0,2012-07-18,10:33:37
2013-07-30,1444,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6023499965667725,0.0,2013-07-24,,10940600.0,0.0,0.0,0.0,10940600.0,0.0,2013-07-08,17:42:47
2014-08-06,1444,102年,0.20039799809455872,0.3005959987640381,2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,,11529000.0,0.0,0.0,0.0,11529000.0,0.0,2014-07-09,17:37:36
2015-07-13,1444,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2015-07-07,2015-08-03,3902720.0,0.0,0.0,0.0,3902720.0,0.0,2015-06-22,13:27:29
2016-07-11,1444,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2016-07-05,2016-07-29,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-17,16:15:11
2018-07-13,1444,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2018-07-05,2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-21,11:13:11
2019-07-06,1444,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2019-06-28,2019-07-26,0.0,0.0,0.0,0.0,0.0,957302942.0,2019-06-13,10:39:29
