date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-12-31,1227,93年,0.0,0.0,,0.0,0.0,0.0,0.0,1.1,0.0,2005-12-23,,6032100.0,0.0,0.0,0.0,4467316.0,0.0,2005-12-13,17:11:11
2007-07-25,1227,95年,0.0,0.0,,0.0,0.0,0.0,0.0,1.2999999523162842,0.0,2007-07-19,,7029440.0,0.0,0.0,0.0,5004910.0,0.0,2007-06-20,14:59:12
2008-07-14,1227,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.8999999761581421,0.0,2008-07-08,,5703820.0,0.0,0.0,0.0,3430510.0,0.0,2008-06-23,16:10:35
2009-08-09,1227,97年,0.05000000074505806,0.0,2009-08-03,0.0,0.0,0.0,0.0,1.399999976158142,0.0,2009-08-03,,10368400.0,0.0,0.0,0.0,6349940.0,0.0,2009-07-16,15:10:14
2010-08-08,1227,98年,1.5,0.0,2010-08-02,0.0,0.0,0.0,0.0,2.0,0.0,2010-08-02,,16256600.0,0.0,0.0,0.0,11611900.0,0.0,2010-07-07,19:26:37
2011-08-08,1227,99年,2.5,0.0,2011-08-02,0.0,0.0,0.0,0.0,2.5,0.0,2011-08-02,,26845400.0,0.0,0.0,0.0,19175300.0,0.0,2011-07-11,18:15:37
2012-07-23,1227,100年,2.4000000953674316,0.0,2012-07-17,0.0,0.0,0.0,0.0,2.4000000953674316,0.0,2012-07-17,,30975300.0,0.0,0.0,0.0,22125200.0,0.0,2012-07-02,18:22:02
2013-07-23,1227,101年,1.5,0.0,2013-07-17,0.0,0.0,0.0,0.0,2.0,0.0,2013-07-17,,28199600.0,0.0,0.0,0.0,20142600.0,0.0,2013-07-02,17:01:40
2014-08-11,1227,102年,0.8999999761581421,0.0,2014-08-05,0.0,0.0,0.0,0.0,1.600000023841858,0.0,2014-08-05,2014-08-29,23430700.0,0.0,0.0,0.0,16736200.0,0.0,2014-07-17,15:04:55
2015-08-25,1227,103年,1.0,0.0,2015-08-19,0.0,0.0,0.0,0.0,1.600000023841858,0.0,2015-08-19,2015-09-15,26155700.0,0.0,0.0,0.0,18682700.0,0.0,2015-07-30,15:12:50
2016-08-24,1227,104年,1.100000023841858,0.0,2016-08-18,0.0,0.0,0.0,0.0,1.600000023841858,0.0,2016-08-18,2016-09-26,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-04,17:29:58
2017-08-27,1227,105年,0.4000000059604645,0.0,2017-08-21,0.0,0.0,0.0,0.0,1.600000023841858,0.0,2017-08-21,2017-09-25,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-03,17:02:02
2018-08-06,1227,106年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2018-07-31,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-13,08:47:51
2019-07-24,1227,107年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2019-07-18,2019-08-15,0.0,0.0,0.0,0.0,0.0,915089591.0,2019-06-19,15:56:25
2020-07-22,1227,108年,0.0,0.0,,0.0,0.0,0.0,0.0,2.65,0.0,2020-07-16,2020-08-12,0.0,0.0,0.0,0.0,0.0,915089591.0,2020-06-22,15:22:28
