date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2008-07-15,1446,97年,0.0,0.0,,0.0,0.0,0.0,0.0,0.27000001072883606,0.0,2008-07-09,,389873.0,0.0,0.0,0.0,1169620.0,0.0,2008-06-24,12:13:51
2012-09-15,1446,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2012-09-07,,433192.0,0.0,0.0,0.0,1299580.0,0.0,2012-08-23,17:00:15
2013-09-09,1446,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2013-09-03,,433192.0,0.0,0.0,0.0,1299580.0,0.0,2013-08-16,17:21:38
2014-08-27,1446,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2014-08-21,2014-09-16,433192.0,0.0,0.0,0.0,1299580.0,0.0,2014-08-05,16:39:24
2015-08-25,1446,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2015-08-19,2015-09-11,433192.0,0.0,0.0,0.0,1299580.0,0.0,2015-07-29,18:19:46
2016-09-05,1446,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.20000000298023224,2016-08-30,2016-09-23,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-12,16:16:20
2017-09-05,1446,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.20000000298023224,2017-08-30,2017-09-22,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-09,17:18:47
2018-09-05,1446,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,2018-08-30,2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-21,15:00:32
2019-09-04,1446,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,2019-08-29,2019-09-20,0.0,0.0,0.0,0.0,0.0,137709513.0,2019-08-12,10:18:21
2020-08-04,1446,108年,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,2020-07-29,2020-08-28,0.0,0.0,0.0,0.0,0.0,137709513.0,2020-07-13,17:25:28
