date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-06-21,1323,93年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2005-06-15,,4580773.0,0.0,0.0,0.0,1145193.0,0.0,2005-05-30,16:58:00
2005-08-10,1323,93年,0.2,0.0,2005-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1145193.0,0.0,2005-07-15,17:13:38
2006-06-26,1323,94年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,2006-06-20,,2336190.0,0.0,0.0,0.0,584047.0,0.0,2006-06-05,09:51:39
2007-06-30,1323,95年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2007-06-23,,3337410.0,0.0,0.0,0.0,834353.0,0.0,2007-06-06,09:35:49
2008-06-23,1323,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2008-06-17,,5339860.0,0.0,0.0,0.0,1334970.0,0.0,2008-05-30,17:02:53
2008-08-11,1323,96年,0.5,0.0,2008-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1334970.0,0.0,2008-07-21,11:05:33
2009-07-13,1323,97年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2009-07-07,,4205140.0,0.0,0.0,0.0,1051280.0,0.0,2009-06-19,16:17:50
2010-07-13,1323,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.8999999761581421,0.0,2010-07-07,,9812000.0,0.0,0.0,0.0,2453000.0,0.0,2010-06-22,11:22:41
2010-09-05,1323,98年,0.5,0.0,2010-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2453000.0,0.0,2010-08-12,17:57:33
2011-07-31,1323,99年,0.0,0.0,,0.0,0.0,0.0,0.0,1.5,0.0,2011-07-25,,11038500.0,0.0,0.0,0.0,2759620.0,0.0,2011-07-07,19:33:38
2012-07-29,1323,100年,0.0,0.0,,0.0,0.0,0.0,0.0,1.2000000476837158,0.0,2012-07-23,,8830800.0,0.0,0.0,0.0,2207700.0,0.0,2012-07-05,17:04:23
2013-07-28,1323,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.699999988079071,0.0,2013-07-22,,8830800.0,0.0,0.0,0.0,2207700.0,0.0,2013-07-04,16:33:18
2013-08-31,1323,101年,0.5,0.0,2013-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2207700.0,0.0,2013-08-06,16:26:46
2014-07-23,1323,102年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2014-07-17,,11590400.0,0.0,0.0,0.0,2897600.0,0.0,2014-06-27,10:34:51
2014-08-31,1323,102年,0.5,0.0,2014-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2897600.0,0.0,2014-08-07,17:23:51
2015-07-25,1323,103年,0.0,0.0,,0.0,0.0,0.0,0.0,1.7999999523162842,0.0,2015-07-17,2015-08-07,14603900.0,0.0,0.0,0.0,3650980.0,0.0,2015-07-02,16:53:55
2016-07-05,1323,104年,0.0,0.0,,0.0,0.0,0.0,0.0,1.5499999523162842,0.0,2016-06-29,2016-07-19,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-13,14:43:10
2017-07-22,1323,105年,0.0,0.0,,0.0,0.0,0.0,0.0,1.7999999523162842,0.0,2017-07-14,2017-08-09,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-28,16:33:37
2018-07-18,1323,106年,0.0,0.0,,0.0,0.0,0.0,0.0,1.2999999523162842,0.0,2018-07-12,2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-27,15:55:42
2019-07-27,1323,107年,0.0,0.0,,0.0,0.0,0.0,0.0,1.7999999523162842,0.0,2019-07-19,2019-08-14,0.0,0.0,0.0,0.0,0.0,91274554.0,2019-07-04,16:40:41
2020-07-18,1323,108年,0.0,0.0,,0.0,0.0,0.0,0.0,1.6,0.0,2020-07-10,2020-08-05,0.0,0.0,0.0,0.0,0.0,91274554.0,2020-06-23,17:24:26
