date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2006-09-24,1325,94年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2006-09-18,,0.0,0.0,0.0,0.0,0.0,0.0,2006-08-28,11:14:27
2007-09-23,1325,95年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2007-09-17,,0.0,0.0,0.0,0.0,0.0,0.0,2007-08-31,18:58:44
2008-07-22,1325,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2008-07-16,,3145090.0,0.0,0.0,0.0,1572550.0,0.0,2008-06-30,09:31:17
2009-08-10,1325,97年,0.30000001192092896,0.0,2009-08-04,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2009-08-04,,3145090.0,0.0,0.0,0.0,1572550.0,0.0,2009-07-17,18:12:29
2010-07-12,1325,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2010-07-06,,5399080.0,0.0,0.0,0.0,2699540.0,0.0,2010-06-18,18:11:16
2010-08-09,1325,98年,0.30000001192092896,0.0,2010-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2699540.0,0.0,2010-07-19,09:46:33
2011-07-18,1325,99年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,2011-07-12,,7785470.0,0.0,0.0,0.0,3892740.0,0.0,2011-06-24,17:55:51
2011-08-17,1325,99年,0.6499999761581421,0.0,2011-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3892740.0,0.0,2011-07-26,18:24:43
2012-07-14,1325,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6499999761581421,0.0,2012-07-06,,4145760.0,0.0,0.0,0.0,2072880.0,0.0,2012-06-21,15:11:59
2013-07-22,1325,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,2013-07-16,,1776760.0,0.0,0.0,0.0,888378.0,0.0,2013-07-01,11:10:27
2014-07-22,1325,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6499999761581421,0.0,2014-07-16,,4145760.0,0.0,0.0,0.0,2072880.0,0.0,2014-07-01,15:40:13
2015-07-08,1325,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,2015-07-02,2015-07-29,1770540.0,0.0,0.0,0.0,885272.0,0.0,2015-06-17,13:59:19
2016-07-19,1325,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.699999988079071,0.0,2016-07-13,2016-08-10,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-27,17:35:46
2017-07-26,1325,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.800000011920929,0.0,2017-07-20,2017-08-16,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-05,17:31:34
2018-07-22,1325,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,2018-07-16,2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-29,16:39:09
2019-07-20,1325,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2019-07-12,2019-08-09,0.0,0.0,0.0,0.0,0.0,85281198.0,2019-06-27,16:21:29
2020-07-22,1325,108年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,2020-07-16,2020-08-12,0.0,0.0,0.0,0.0,0.0,85281198.0,2020-06-30,16:07:29
