date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-08-06,1455,93年,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,2005-07-29,,9245344.0,0.0,0.0,0.0,13868016.0,0.0,2005-07-12,16:11:21
2005-08-16,1455,93年,0.75,0.0,2005-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,,9245344.0,0.0,0.0,0.0,13868016.0,0.0,2005-07-13,09:16:59
2006-09-06,1455,94年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,2006-08-31,,993874.0,0.0,0.0,0.0,1490810.0,0.0,2006-08-14,16:37:43
2007-09-10,1455,95年,0.18000000715255737,0.0,2007-09-04,0.0,0.0,0.0,0.0,0.11999999731779099,0.0,2007-09-04,,2981620.0,0.0,0.0,0.0,4472440.0,0.0,2007-08-20,15:35:20
2008-09-09,1455,96年,0.18000000715255737,0.0,2008-09-03,0.0,0.0,0.0,0.0,0.11999999731779099,0.0,2008-09-03,,3035290.0,0.0,0.0,0.0,4552940.0,0.0,2008-08-15,16:48:48
2010-07-19,1455,99年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,2010-07-13,,2537460.0,0.0,0.0,0.0,3806180.0,0.0,2010-06-28,09:06:49
2010-09-21,1455,98年,0.15000000596046448,0.0,2010-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,,2537460.0,0.0,0.0,0.0,3806180.0,0.0,2010-08-23,17:28:09
2011-07-18,1455,99年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2011-07-12,,12362500.0,0.0,0.0,0.0,18543700.0,0.0,2011-06-21,15:23:41
2011-08-10,1455,99年,0.6000000238418579,0.0,2011-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,,12362500.0,0.0,0.0,0.0,18543700.0,0.0,2011-07-18,17:07:10
2012-04-12,1455,101年,0.0,0.0,2012-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,81000000.0,11.71,10.300000190734863,3787640.0,0.0,2012-03-28,15:32:21
2012-08-08,1455,100年,0.10000000149011612,0.0,2012-08-02,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,2012-08-02,,2525090.0,0.0,0.0,0.0,3787640.0,0.0,2012-07-13,09:11:30
2013-08-30,1455,101年,0.0,0.10000000149011612,2013-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-05,17:00:15
2014-07-22,1455,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2014-07-16,,2575850.0,0.0,0.0,0.0,3863770.0,0.0,2014-06-27,15:26:41
2015-07-12,1455,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2015-07-06,2015-08-03,2575850.0,0.0,0.0,0.0,3863770.0,0.0,2015-06-17,15:29:51
2016-07-26,1455,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2016-07-20,2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-04,16:35:52
2017-07-26,1455,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2017-07-20,2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-28,15:51:07
2018-07-18,1455,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,2018-07-12,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-22,11:20:11
2019-07-28,1455,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2019-07-22,2019-08-21,0.0,0.0,0.0,0.0,0.0,611763380.0,2019-07-04,16:43:21
