date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-08-04,1108,93年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,2005-07-28,,4778286.0,0.0,0.0,0.0,7963810.0,0.0,2005-07-11,10:11:17
2006-08-09,1108,94年,0.0,0.0,,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,2006-08-03,,5973000.0,0.0,0.0,0.0,9955010.0,0.0,2006-07-19,14:57:58
2007-08-22,1108,95年,0.0,0.0,,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,2007-08-16,,7321540.0,0.0,0.0,0.0,12202600.0,0.0,2007-07-31,18:30:10
2008-09-22,1108,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,2008-09-16,,2548310.0,0.0,0.0,0.0,4247190.0,0.0,2008-08-29,10:06:02
2010-09-15,1108,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.17000000178813934,0.0,2010-09-09,,3462910.0,0.0,0.0,0.0,5771520.0,0.0,2010-08-23,14:36:34
2014-07-22,1108,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.44999998807907104,0.0,2014-07-16,2014-07-31,4845000.0,0.0,0.0,0.0,8075000.0,0.0,2014-07-02,11:42:01
2015-07-21,1108,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2015-07-15,2015-08-07,10247500.0,0.0,0.0,0.0,17079200.0,0.0,2015-06-23,15:30:49
2016-07-26,1108,104年,0.0,0.0,,0.0,0.0,0.0,0.0,0.8500000238418579,0.0,2016-07-20,2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-05,15:56:01
2017-08-01,1108,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2017-07-26,2017-08-15,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-10,17:56:15
2020-09-04,1108,108年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,0.15,0.0,2020-08-27,2020-09-24,0.0,0.0,0.0,0.0,0.0,404738049.0,2020-08-11,16:15:05
