date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2008-08-12,1103,96年,1.0021100044250488,0.0,2008-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,,11495500.0,0.0,0.0,0.0,10611300.0,0.0,2008-07-25,10:31:25
2010-08-18,1103,98年,0.20000000298023224,0.0,2010-08-12,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2010-08-12,,13490000.0,0.0,0.0,0.0,12070000.0,0.0,2010-07-28,14:54:11
2011-08-04,1103,99年,0.30000001192092896,0.0,2011-07-28,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,2011-07-28,,900000.0,0.0,0.0,0.0,800000.0,0.0,2011-07-14,15:44:03
2012-08-19,1103,100年,0.30000001192092896,0.0,2012-08-13,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2012-08-13,,4000000.0,0.0,0.0,0.0,0.0,0.0,2012-07-27,15:54:00
2014-07-18,1103,102年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2014-07-10,,13500000.0,0.0,0.0,0.0,15964000.0,0.0,2014-06-26,09:37:05
2015-09-17,1103,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3002989888191223,0.0,2015-09-10,2015-10-16,0.0,0.0,0.0,0.0,0.0,0.0,2015-09-10,17:38:18
2016-09-02,1103,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,2016-08-25,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-10,18:01:40
2017-08-30,1103,105年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,2017-08-24,2017-09-15,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-10,11:08:57
2018-08-11,1103,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2018-08-03,2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-18,16:50:26
2019-09-04,1103,107年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2019-08-29,2019-09-26,0.0,0.0,0.0,0.0,0.0,771780548.0,2019-08-13,16:45:55
2020-07-29,1103,108年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0018628,0.0,2020-07-23,2020-08-28,0.0,0.0,0.0,0.0,0.0,770345548.0,2020-07-07,17:12:36
