date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-08-27,1231,93年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2005-08-19,,403976.0,0.0,0.0,0.0,403976.0,0.0,2005-08-04,17:43:33
2006-08-29,1231,94年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2006-08-23,,941730.0,0.0,0.0,0.0,941730.0,0.0,2006-08-08,16:58:22
2007-08-28,1231,95年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2007-08-22,,862788.0,0.0,0.0,0.0,862788.0,0.0,2007-08-07,11:12:29
2008-08-27,1231,96年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2008-08-21,,1459010.0,0.0,0.0,0.0,1459010.0,0.0,2008-08-04,09:39:03
2009-08-24,1231,97年,0.0,0.0,,0.0,0.0,0.0,0.0,0.699999988079071,0.0,2009-08-18,,1663440.0,0.0,0.0,0.0,1663440.0,0.0,2009-07-31,14:14:27
2010-08-31,1231,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.699999988079071,0.0,2010-08-25,,2025640.0,0.0,0.0,0.0,2025640.0,0.0,2010-08-09,17:25:22
2011-08-17,1231,99年,0.30000001192092896,0.0,2011-08-11,0.0,0.0,0.0,0.0,1.100000023841858,0.0,2011-08-11,,5421030.0,0.0,0.0,0.0,5421030.0,0.0,2011-07-28,09:43:50
2012-08-21,1231,100年,0.30000001192092896,0.0,2012-08-15,0.0,0.0,0.0,0.0,1.2000000476837158,0.0,2012-08-15,,6453120.0,0.0,0.0,0.0,6453120.0,0.0,2012-07-31,16:43:23
2013-09-02,1231,101年,0.800000011920929,0.0,2013-08-27,0.0,0.0,0.0,0.0,1.2000000476837158,0.0,2013-08-27,,5830880.0,0.0,0.0,0.0,5830880.0,0.0,2013-08-12,18:57:54
2014-09-03,1231,102年,1.2000000476837158,0.0,2014-08-28,0.0,0.0,0.0,0.0,1.0,0.0,2014-08-28,2014-09-26,6167500.0,0.0,0.0,0.0,6167490.0,0.0,2014-08-13,18:08:08
2015-09-06,1231,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.8999999761581421,0.0,2015-08-31,2015-09-25,4010570.0,0.0,0.0,0.0,4010550.0,0.0,2015-08-13,15:06:02
2016-09-04,1231,104年,0.33000001311302185,0.0,2016-08-29,0.0,0.0,0.0,0.0,1.3200000524520874,0.0,2016-08-29,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-12,11:56:21
2017-09-03,1231,105年,0.44999998807907104,0.0,2017-08-28,0.0,0.0,0.0,0.0,1.75,0.0,2017-08-28,2017-09-29,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-11,15:48:04
2018-09-02,1231,106年,0.4000000059604645,0.0,2018-08-27,0.0,0.0,0.0,0.0,1.399999976158142,0.0,2018-08-27,2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-10,17:48:25
2019-09-04,1231,107年,0.5,0.0,2019-08-29,0.0,0.0,0.0,0.0,1.7999999523162842,0.0,2019-08-29,2019-10-04,0.0,0.0,0.0,0.0,0.0,166281329.0,2019-08-14,16:02:39
2020-08-03,1231,108年,0.5,0.0,2020-07-28,0.0,0.0,0.0,0.0,1.6,0.0,2020-07-28,2020-08-28,0.0,0.0,0.0,0.0,0.0,174595395.0,2020-07-10,09:58:11
