stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
8066,來思達,2017-10-06,1-999,1424.0,0.67,202894.0
8066,來思達,2017-10-06,"1,000-5,000",752.0,4.83,1459249.0
8066,來思達,2017-10-06,"10,001-15,000",51.0,2.14,648251.0
8066,來思達,2017-10-06,"100,001-200,000",12.0,5.82,1757422.0
8066,來思達,2017-10-06,"15,001-20,000",22.0,1.28,388714.0
8066,來思達,2017-10-06,"20,001-30,000",31.0,2.64,796740.0
8066,來思達,2017-10-06,"200,001-400,000",9.0,7.72,2329383.0
8066,來思達,2017-10-06,"30,001-40,000",14.0,1.63,492852.0
8066,來思達,2017-10-06,"40,001-50,000",13.0,1.87,565865.0
8066,來思達,2017-10-06,"400,001-600,000",4.0,6.43,1941110.0
8066,來思達,2017-10-06,"5,001-10,000",134.0,3.19,963812.0
8066,來思達,2017-10-06,"50,001-100,000",30.0,6.91,2085733.0
8066,來思達,2017-10-06,"600,001-800,000",3.0,7.14,2155540.0
8066,來思達,2017-10-06,"800,001-1,000,000",0.0,0.0,0.0
8066,來思達,2017-10-06,"more than 1,000,001",8.0,47.64,14364739.0
8066,來思達,2017-10-06,total,2507.0,100.0,30152304.0
8066,來思達,2017-10-13,1-999,1423.0,0.67,204018.0
8066,來思達,2017-10-13,"1,000-5,000",743.0,4.72,1425785.0
8066,來思達,2017-10-13,"10,001-15,000",48.0,2.03,614891.0
8066,來思達,2017-10-13,"100,001-200,000",13.0,6.24,1884422.0
8066,來思達,2017-10-13,"15,001-20,000",23.0,1.34,404714.0
8066,來思達,2017-10-13,"20,001-30,000",32.0,2.7,815792.0
8066,來思達,2017-10-13,"200,001-400,000",9.0,8.09,2441383.0
8066,來思達,2017-10-13,"30,001-40,000",13.0,1.5,455200.0
8066,來思達,2017-10-13,"40,001-50,000",14.0,2.07,625665.0
8066,來思達,2017-10-13,"400,001-600,000",4.0,6.45,1946110.0
8066,來思達,2017-10-13,"5,001-10,000",130.0,3.07,927712.0
8066,來思達,2017-10-13,"50,001-100,000",26.0,5.87,1772333.0
8066,來思達,2017-10-13,"600,001-800,000",3.0,7.14,2155540.0
8066,來思達,2017-10-13,"800,001-1,000,000",0.0,0.0,0.0
8066,來思達,2017-10-13,"more than 1,000,001",8.0,48.01,14478739.0
8066,來思達,2017-10-13,total,2489.0,100.0,30152304.0
8066,來思達,2017-10-20,1-999,1414.0,0.66,200633.0
8066,來思達,2017-10-20,"1,000-5,000",727.0,4.6,1387083.0
8066,來思達,2017-10-20,"10,001-15,000",46.0,1.95,588491.0
8066,來思達,2017-10-20,"100,001-200,000",13.0,6.47,1952422.0
8066,來思達,2017-10-20,"15,001-20,000",21.0,1.21,367714.0
8066,來思達,2017-10-20,"20,001-30,000",35.0,2.89,872392.0
8066,來思達,2017-10-20,"200,001-400,000",8.0,7.39,2229383.0
8066,來思達,2017-10-20,"30,001-40,000",14.0,1.65,499400.0
8066,來思達,2017-10-20,"40,001-50,000",12.0,1.77,535065.0
