stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
3339,泰谷,2017-10-06,1-999,5984.0,1.26,1212153.0
3339,泰谷,2017-10-06,"1,000-5,000",1909.0,4.34,4176515.0
3339,泰谷,2017-10-06,"10,001-15,000",131.0,1.65,1595620.0
3339,泰谷,2017-10-06,"100,001-200,000",36.0,5.0,4816726.0
3339,泰谷,2017-10-06,"15,001-20,000",76.0,1.38,1331776.0
3339,泰谷,2017-10-06,"20,001-30,000",60.0,1.53,1477220.0
3339,泰谷,2017-10-06,"200,001-400,000",18.0,5.13,4943062.0
3339,泰谷,2017-10-06,"30,001-40,000",51.0,1.8,1738433.0
3339,泰谷,2017-10-06,"40,001-50,000",12.0,0.55,536620.0
3339,泰谷,2017-10-06,"400,001-600,000",7.0,3.39,3264255.0
3339,泰谷,2017-10-06,"5,001-10,000",393.0,2.84,2739099.0
3339,泰谷,2017-10-06,"50,001-100,000",59.0,4.28,4124620.0
3339,泰谷,2017-10-06,"600,001-800,000",5.0,3.85,3707312.0
3339,泰谷,2017-10-06,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-10-06,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-10-06,total,8756.0,100.0,96181442.0
3339,泰谷,2017-10-13,1-999,5980.0,1.25,1210128.0
3339,泰谷,2017-10-13,"1,000-5,000",1911.0,4.34,4179810.0
3339,泰谷,2017-10-13,"10,001-15,000",131.0,1.65,1590620.0
3339,泰谷,2017-10-13,"100,001-200,000",36.0,5.01,4824726.0
3339,泰谷,2017-10-13,"15,001-20,000",76.0,1.38,1332586.0
3339,泰谷,2017-10-13,"20,001-30,000",59.0,1.5,1451018.0
3339,泰谷,2017-10-13,"200,001-400,000",18.0,5.13,4943062.0
3339,泰谷,2017-10-13,"30,001-40,000",51.0,1.8,1738433.0
3339,泰谷,2017-10-13,"40,001-50,000",12.0,0.55,536620.0
3339,泰谷,2017-10-13,"400,001-600,000",7.0,3.39,3264255.0
3339,泰谷,2017-10-13,"5,001-10,000",395.0,2.86,2757221.0
3339,泰谷,2017-10-13,"50,001-100,000",59.0,4.29,4127620.0
3339,泰谷,2017-10-13,"600,001-800,000",5.0,3.85,3707312.0
3339,泰谷,2017-10-13,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-10-13,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-10-13,total,8755.0,100.0,96181442.0
3339,泰谷,2017-10-27,1-999,5975.0,1.25,1203936.0
3339,泰谷,2017-10-27,"1,000-5,000",1902.0,4.32,4163301.0
3339,泰谷,2017-10-27,"10,001-15,000",131.0,1.65,1587235.0
3339,泰谷,2017-10-27,"100,001-200,000",36.0,5.05,4864905.0
3339,泰谷,2017-10-27,"15,001-20,000",76.0,1.38,1332984.0
3339,泰谷,2017-10-27,"20,001-30,000",60.0,1.53,1472367.0
3339,泰谷,2017-10-27,"200,001-400,000",18.0,5.13,4943062.0
3339,泰谷,2017-10-27,"30,001-40,000",51.0,1.8,1738433.0
3339,泰谷,2017-10-27,"40,001-50,000",12.0,0.55,536620.0
3339,泰谷,2017-10-27,"400,001-600,000",7.0,3.39,3264255.0
3339,泰谷,2017-10-27,"5,001-10,000",392.0,2.83,2729381.0
3339,泰谷,2017-10-27,"50,001-100,000",59.0,4.28,4119620.0
3339,泰谷,2017-10-27,"600,001-800,000",5.0,3.85,3707312.0
3339,泰谷,2017-10-27,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-10-27,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-10-27,total,8739.0,100.0,96181442.0
3339,泰谷,2017-11-03,1-999,5964.0,1.24,1200795.0
3339,泰谷,2017-11-03,"1,000-5,000",1901.0,4.32,4162114.0
3339,泰谷,2017-11-03,"10,001-15,000",131.0,1.65,1587235.0
3339,泰谷,2017-11-03,"100,001-200,000",35.0,4.85,4667655.0
3339,泰谷,2017-11-03,"15,001-20,000",77.0,1.4,1351984.0
3339,泰谷,2017-11-03,"20,001-30,000",60.0,1.53,1477367.0
3339,泰谷,2017-11-03,"200,001-400,000",19.0,5.36,5159312.0
3339,泰谷,2017-11-03,"30,001-40,000",50.0,1.76,1698433.0
3339,泰谷,2017-11-03,"40,001-50,000",12.0,0.55,536620.0
3339,泰谷,2017-11-03,"400,001-600,000",7.0,3.39,3264255.0
3339,泰谷,2017-11-03,"5,001-10,000",392.0,2.84,2731709.0
3339,泰谷,2017-11-03,"50,001-100,000",59.0,4.28,4118620.0
3339,泰谷,2017-11-03,"600,001-800,000",5.0,3.85,3707312.0
3339,泰谷,2017-11-03,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-11-03,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-11-03,total,8727.0,100.0,96181442.0
3339,泰谷,2017-11-10,1-999,5962.0,1.24,1196206.0
3339,泰谷,2017-11-10,"1,000-5,000",1898.0,4.33,4169779.0
3339,泰谷,2017-11-10,"10,001-15,000",134.0,1.69,1626893.0
3339,泰谷,2017-11-10,"100,001-200,000",35.0,4.87,4686655.0
3339,泰谷,2017-11-10,"15,001-20,000",77.0,1.4,1354884.0
3339,泰谷,2017-11-10,"20,001-30,000",55.0,1.41,1357123.0
3339,泰谷,2017-11-10,"200,001-400,000",20.0,5.73,5517317.0
3339,泰谷,2017-11-10,"30,001-40,000",52.0,1.84,1773305.0
3339,泰谷,2017-11-10,"40,001-50,000",13.0,0.61,588524.0
3339,泰谷,2017-11-10,"400,001-600,000",6.0,2.81,2712250.0
3339,泰谷,2017-11-10,"5,001-10,000",381.0,2.74,2644319.0
3339,泰谷,2017-11-10,"50,001-100,000",62.0,4.5,4328844.0
3339,泰谷,2017-11-10,"600,001-800,000",5.0,3.85,3707312.0
3339,泰谷,2017-11-10,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-11-10,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-11-10,total,8715.0,100.0,96181442.0
3339,泰谷,2017-11-17,1-999,5949.0,1.23,1192540.0
3339,泰谷,2017-11-17,"1,000-5,000",1889.0,4.3,4143427.0
3339,泰谷,2017-11-17,"10,001-15,000",130.0,1.64,1583937.0
3339,泰谷,2017-11-17,"100,001-200,000",38.0,5.32,5118942.0
3339,泰谷,2017-11-17,"15,001-20,000",76.0,1.38,1333378.0
3339,泰谷,2017-11-17,"20,001-30,000",60.0,1.53,1477109.0
3339,泰谷,2017-11-17,"200,001-400,000",19.0,5.51,5307312.0
3339,泰谷,2017-11-17,"30,001-40,000",49.0,1.72,1661632.0
3339,泰谷,2017-11-17,"40,001-50,000",14.0,0.66,642524.0
3339,泰谷,2017-11-17,"400,001-600,000",6.0,2.81,2712250.0
3339,泰谷,2017-11-17,"5,001-10,000",385.0,2.78,2676473.0
3339,泰谷,2017-11-17,"50,001-100,000",59.0,4.26,4103575.0
3339,泰谷,2017-11-17,"600,001-800,000",5.0,3.85,3710312.0
3339,泰谷,2017-11-17,"800,001-1,000,000",1.0,0.9,867297.0
3339,泰谷,2017-11-17,"more than 1,000,001",14.0,62.01,59650734.0
3339,泰谷,2017-11-17,total,8694.0,100.0,96181442.0
3339,泰谷,2017-11-24,1-999,5941.0,1.23,1188821.0
3339,泰谷,2017-11-24,"1,000-5,000",1898.0,4.32,4161270.0
3339,泰谷,2017-11-24,"10,001-15,000",126.0,1.59,1533243.0
3339,泰谷,2017-11-24,"100,001-200,000",38.0,5.36,5158942.0
3339,泰谷,2017-11-24,"15,001-20,000",76.0,1.38,1334813.0
3339,泰谷,2017-11-24,"20,001-30,000",61.0,1.56,1501324.0
3339,泰谷,2017-11-24,"200,001-400,000",19.0,5.52,5313312.0
3339,泰谷,2017-11-24,"30,001-40,000",48.0,1.68,1622840.0
3339,泰谷,2017-11-24,"40,001-50,000",12.0,0.55,537524.0
