stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
9931,欣高,2017-10-06,1-999,6830.0,0.07,79176.0
9931,欣高,2017-10-06,"1,000-5,000",436.0,0.82,846133.0
9931,欣高,2017-10-06,"10,001-15,000",53.0,0.64,657078.0
9931,欣高,2017-10-06,"100,001-200,000",35.0,4.66,4769518.0
9931,欣高,2017-10-06,"15,001-20,000",30.0,0.5,511727.0
9931,欣高,2017-10-06,"20,001-30,000",43.0,1.04,1064627.0
9931,欣高,2017-10-06,"200,001-400,000",15.0,4.02,4113618.0
9931,欣高,2017-10-06,"30,001-40,000",32.0,1.12,1145378.0
9931,欣高,2017-10-06,"40,001-50,000",23.0,1.02,1049364.0
9931,欣高,2017-10-06,"400,001-600,000",7.0,3.39,3472943.0
9931,欣高,2017-10-06,"5,001-10,000",113.0,0.78,800744.0
9931,欣高,2017-10-06,"50,001-100,000",96.0,6.48,6632343.0
9931,欣高,2017-10-06,"600,001-800,000",2.0,1.32,1353839.0
9931,欣高,2017-10-06,"800,001-1,000,000",3.0,2.62,2684238.0
9931,欣高,2017-10-06,"more than 1,000,001",18.0,71.46,73069786.0
9931,欣高,2017-10-06,total,7736.0,100.0,102250512.0
9931,欣高,2017-10-13,1-999,6828.0,0.07,78657.0
9931,欣高,2017-10-13,"1,000-5,000",435.0,0.82,847196.0
9931,欣高,2017-10-13,"10,001-15,000",53.0,0.64,657078.0
9931,欣高,2017-10-13,"100,001-200,000",35.0,4.66,4769518.0
9931,欣高,2017-10-13,"15,001-20,000",30.0,0.5,511727.0
9931,欣高,2017-10-13,"20,001-30,000",43.0,1.03,1062627.0
9931,欣高,2017-10-13,"200,001-400,000",15.0,4.02,4113618.0
9931,欣高,2017-10-13,"30,001-40,000",32.0,1.12,1145378.0
9931,欣高,2017-10-13,"40,001-50,000",23.0,1.02,1049364.0
9931,欣高,2017-10-13,"400,001-600,000",7.0,3.39,3472791.0
9931,欣高,2017-10-13,"5,001-10,000",114.0,0.79,808384.0
9931,欣高,2017-10-13,"50,001-100,000",96.0,6.47,6623311.0
9931,欣高,2017-10-13,"600,001-800,000",2.0,1.32,1353839.0
9931,欣高,2017-10-13,"800,001-1,000,000",3.0,2.62,2684238.0
9931,欣高,2017-10-13,"more than 1,000,001",18.0,71.46,73072786.0
9931,欣高,2017-10-13,total,7734.0,100.0,102250512.0
9931,欣高,2017-10-27,1-999,6835.0,0.07,77732.0
9931,欣高,2017-10-27,"1,000-5,000",434.0,0.82,846121.0
9931,欣高,2017-10-27,"10,001-15,000",53.0,0.64,657078.0
9931,欣高,2017-10-27,"100,001-200,000",35.0,4.66,4769518.0
9931,欣高,2017-10-27,"15,001-20,000",30.0,0.5,511727.0
9931,欣高,2017-10-27,"20,001-30,000",42.0,1.01,1034516.0
9931,欣高,2017-10-27,"200,001-400,000",15.0,4.02,4113618.0
9931,欣高,2017-10-27,"30,001-40,000",33.0,1.14,1175489.0
9931,欣高,2017-10-27,"40,001-50,000",23.0,1.02,1049364.0
9931,欣高,2017-10-27,"400,001-600,000",6.0,2.91,2981791.0
9931,欣高,2017-10-27,"5,001-10,000",114.0,0.79,808384.0
9931,欣高,2017-10-27,"50,001-100,000",96.0,6.47,6623311.0
9931,欣高,2017-10-27,"600,001-800,000",2.0,1.32,1353839.0
9931,欣高,2017-10-27,"800,001-1,000,000",3.0,2.62,2684238.0
9931,欣高,2017-10-27,"more than 1,000,001",18.0,71.94,73563786.0
9931,欣高,2017-10-27,total,7739.0,100.0,102250512.0
9931,欣高,2017-11-03,1-999,6836.0,0.07,77561.0
9931,欣高,2017-11-03,"1,000-5,000",437.0,0.83,852829.0
9931,欣高,2017-11-03,"10,001-15,000",54.0,0.65,669158.0
9931,欣高,2017-11-03,"100,001-200,000",35.0,4.66,4769518.0
9931,欣高,2017-11-03,"15,001-20,000",30.0,0.5,511727.0
9931,欣高,2017-11-03,"20,001-30,000",42.0,1.01,1034516.0
