stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
5483,中美晶,2017-10-06,1-999,30124.0,0.54,3194272.0
5483,中美晶,2017-10-06,"1,000-5,000",29330.0,9.82,57599725.0
5483,中美晶,2017-10-06,"10,001-15,000",1272.0,2.66,15619771.0
5483,中美晶,2017-10-06,"100,001-200,000",145.0,3.36,19704183.0
5483,中美晶,2017-10-06,"15,001-20,000",651.0,2.02,11866039.0
5483,中美晶,2017-10-06,"20,001-30,000",569.0,2.43,14266358.0
5483,中美晶,2017-10-06,"200,001-400,000",71.0,3.51,20592317.0
5483,中美晶,2017-10-06,"30,001-40,000",226.0,1.36,8003732.0
5483,中美晶,2017-10-06,"40,001-50,000",143.0,1.12,6613280.0
5483,中美晶,2017-10-06,"400,001-600,000",25.0,2.1,12326839.0
5483,中美晶,2017-10-06,"5,001-10,000",4126.0,5.26,30844155.0
5483,中美晶,2017-10-06,"50,001-100,000",310.0,3.73,21911275.0
5483,中美晶,2017-10-06,"600,001-800,000",17.0,2.03,11951306.0
5483,中美晶,2017-10-06,"800,001-1,000,000",15.0,2.36,13842855.0
5483,中美晶,2017-10-06,"more than 1,000,001",81.0,57.62,337757544.0
5483,中美晶,2017-10-06,total,67105.0,100.0,586093651.0
5483,中美晶,2017-10-13,1-999,30244.0,0.55,3227000.0
5483,中美晶,2017-10-13,"1,000-5,000",27143.0,9.05,53090721.0
5483,中美晶,2017-10-13,"10,001-15,000",1217.0,2.55,14947631.0
5483,中美晶,2017-10-13,"100,001-200,000",150.0,3.53,20715896.0
5483,中美晶,2017-10-13,"15,001-20,000",608.0,1.89,11080982.0
5483,中美晶,2017-10-13,"20,001-30,000",517.0,2.19,12873284.0
5483,中美晶,2017-10-13,"200,001-400,000",78.0,3.95,23180023.0
5483,中美晶,2017-10-13,"30,001-40,000",207.0,1.24,7286028.0
5483,中美晶,2017-10-13,"40,001-50,000",150.0,1.19,6987315.0
5483,中美晶,2017-10-13,"400,001-600,000",23.0,1.9,11137493.0
5483,中美晶,2017-10-13,"5,001-10,000",3786.0,4.78,28020349.0
5483,中美晶,2017-10-13,"50,001-100,000",298.0,3.61,21179991.0
5483,中美晶,2017-10-13,"600,001-800,000",15.0,1.79,10505364.0
5483,中美晶,2017-10-13,"800,001-1,000,000",11.0,1.73,10170875.0
5483,中美晶,2017-10-13,"more than 1,000,001",86.0,60.0,351710699.0
5483,中美晶,2017-10-13,total,64533.0,100.0,586093651.0
5483,中美晶,2017-10-13,差異數調整（說明4）,0.0,-0.0,-20000.0
5483,中美晶,2017-10-20,1-999,30224.0,0.54,3214987.0
5483,中美晶,2017-10-20,"1,000-5,000",28411.0,9.34,54762412.0
5483,中美晶,2017-10-20,"10,001-15,000",1158.0,2.42,14239018.0
5483,中美晶,2017-10-20,"100,001-200,000",144.0,3.35,19657946.0
5483,中美晶,2017-10-20,"15,001-20,000",603.0,1.87,10989460.0
5483,中美晶,2017-10-20,"20,001-30,000",522.0,2.22,13045698.0
5483,中美晶,2017-10-20,"200,001-400,000",86.0,4.25,24956454.0
5483,中美晶,2017-10-20,"30,001-40,000",207.0,1.25,7333593.0
5483,中美晶,2017-10-20,"40,001-50,000",132.0,1.03,6057735.0
5483,中美晶,2017-10-20,"400,001-600,000",25.0,2.16,12704875.0
5483,中美晶,2017-10-20,"5,001-10,000",3777.0,4.8,28178091.0
5483,中美晶,2017-10-20,"50,001-100,000",294.0,3.54,20775362.0
5483,中美晶,2017-10-20,"600,001-800,000",12.0,1.45,8507363.0
5483,中美晶,2017-10-20,"800,001-1,000,000",12.0,1.87,10964875.0
5483,中美晶,2017-10-20,"more than 1,000,001",85.0,59.85,350795782.0
5483,中美晶,2017-10-20,total,65692.0,100.0,586093651.0
5483,中美晶,2017-10-20,差異數調整（說明4）,0.0,-0.01,-90000.0
5483,中美晶,2017-10-27,1-999,30186.0,0.54,3199060.0
5483,中美晶,2017-10-27,"1,000-5,000",29810.0,9.8,57439958.0
5483,中美晶,2017-10-27,"10,001-15,000",1205.0,2.53,14880785.0
5483,中美晶,2017-10-27,"100,001-200,000",142.0,3.31,19432197.0
5483,中美晶,2017-10-27,"15,001-20,000",588.0,1.82,10717254.0
5483,中美晶,2017-10-27,"20,001-30,000",541.0,2.3,13522404.0
5483,中美晶,2017-10-27,"200,001-400,000",87.0,4.15,24337938.0
5483,中美晶,2017-10-27,"30,001-40,000",215.0,1.3,7643829.0
5483,中美晶,2017-10-27,"40,001-50,000",131.0,1.03,6041001.0
5483,中美晶,2017-10-27,"400,001-600,000",23.0,2.01,11806875.0
5483,中美晶,2017-10-27,"5,001-10,000",3875.0,4.95,29048985.0
5483,中美晶,2017-10-27,"50,001-100,000",281.0,3.41,20024306.0
5483,中美晶,2017-10-27,"600,001-800,000",17.0,2.01,11833471.0
5483,中美晶,2017-10-27,"800,001-1,000,000",15.0,2.32,13641088.0
5483,中美晶,2017-10-27,"more than 1,000,001",81.0,58.44,342524500.0
5483,中美晶,2017-10-27,total,67197.0,100.0,586093651.0
5483,中美晶,2017-11-03,1-999,30136.0,0.54,3182864.0
5483,中美晶,2017-11-03,"1,000-5,000",29228.0,9.65,56586983.0
5483,中美晶,2017-11-03,"10,001-15,000",1171.0,2.46,14419389.0
5483,中美晶,2017-11-03,"100,001-200,000",135.0,3.22,18883405.0
5483,中美晶,2017-11-03,"15,001-20,000",604.0,1.88,11023815.0
5483,中美晶,2017-11-03,"20,001-30,000",533.0,2.27,13337743.0
5483,中美晶,2017-11-03,"200,001-400,000",85.0,4.02,23564100.0
5483,中美晶,2017-11-03,"30,001-40,000",219.0,1.32,7762367.0
5483,中美晶,2017-11-03,"40,001-50,000",134.0,1.04,6122489.0
5483,中美晶,2017-11-03,"400,001-600,000",30.0,2.59,15217408.0
5483,中美晶,2017-11-03,"5,001-10,000",3806.0,4.84,28423253.0
5483,中美晶,2017-11-03,"50,001-100,000",277.0,3.34,19614753.0
5483,中美晶,2017-11-03,"600,001-800,000",16.0,1.95,11448938.0
5483,中美晶,2017-11-03,"800,001-1,000,000",11.0,1.65,9718644.0
5483,中美晶,2017-11-03,"more than 1,000,001",85.0,59.16,346787500.0
5483,中美晶,2017-11-03,total,66470.0,100.0,586093651.0
5483,中美晶,2017-11-10,1-999,30053.0,0.54,3166986.0
5483,中美晶,2017-11-10,"1,000-5,000",29836.0,9.97,58482071.0
