stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
1526,日馳,2017-10-06,1-999,8281.0,1.17,588421.0
1526,日馳,2017-10-06,"1,000-5,000",2056.0,8.39,4197362.0
1526,日馳,2017-10-06,"10,001-15,000",77.0,2.0,1002679.0
1526,日馳,2017-10-06,"100,001-200,000",21.0,5.89,2946386.0
1526,日馳,2017-10-06,"15,001-20,000",79.0,2.93,1466296.0
1526,日馳,2017-10-06,"20,001-30,000",42.0,2.16,1082598.0
1526,日馳,2017-10-06,"200,001-400,000",16.0,9.5,4750462.0
1526,日馳,2017-10-06,"30,001-40,000",27.0,1.98,991000.0
1526,日馳,2017-10-06,"40,001-50,000",15.0,1.42,713000.0
1526,日馳,2017-10-06,"400,001-600,000",4.0,3.92,1962341.0
1526,日馳,2017-10-06,"5,001-10,000",328.0,5.46,2733154.0
1526,日馳,2017-10-06,"50,001-100,000",49.0,7.29,3647356.0
1526,日馳,2017-10-06,"600,001-800,000",5.0,6.46,3232761.0
1526,日馳,2017-10-06,"800,001-1,000,000",2.0,3.35,1677000.0
1526,日馳,2017-10-06,"more than 1,000,001",3.0,38.01,19009184.0
1526,日馳,2017-10-06,total,11005.0,100.0,50000000.0
1526,日馳,2017-10-13,1-999,8279.0,1.17,588344.0
1526,日馳,2017-10-13,"1,000-5,000",2188.0,9.06,4534227.0
1526,日馳,2017-10-13,"10,001-15,000",88.0,2.3,1154654.0
1526,日馳,2017-10-13,"100,001-200,000",25.0,6.63,3315386.0
1526,日馳,2017-10-13,"15,001-20,000",76.0,2.82,1411296.0
1526,日馳,2017-10-13,"20,001-30,000",50.0,2.59,1299598.0
1526,日馳,2017-10-13,"200,001-400,000",13.0,7.39,3699462.0
1526,日馳,2017-10-13,"30,001-40,000",24.0,1.74,873000.0
1526,日馳,2017-10-13,"40,001-50,000",15.0,1.4,702000.0
1526,日馳,2017-10-13,"400,001-600,000",7.0,6.66,3334341.0
1526,日馳,2017-10-13,"5,001-10,000",319.0,5.29,2649391.0
1526,日馳,2017-10-13,"50,001-100,000",42.0,6.23,3118356.0
1526,日馳,2017-10-13,"600,001-800,000",5.0,6.85,3427761.0
1526,日馳,2017-10-13,"800,001-1,000,000",1.0,1.76,883000.0
1526,日馳,2017-10-13,"more than 1,000,001",3.0,38.01,19009184.0
1526,日馳,2017-10-13,total,11135.0,100.0,50000000.0
1526,日馳,2017-10-20,1-999,8276.0,1.17,586890.0
1526,日馳,2017-10-20,"1,000-5,000",2184.0,9.06,4534212.0
1526,日馳,2017-10-20,"10,001-15,000",97.0,2.49,1249984.0
1526,日馳,2017-10-20,"100,001-200,000",28.0,7.61,3805224.0
1526,日馳,2017-10-20,"15,001-20,000",88.0,3.24,1624296.0
1526,日馳,2017-10-20,"20,001-30,000",58.0,3.08,1544598.0
1526,日馳,2017-10-20,"200,001-400,000",12.0,6.98,3494462.0
1526,日馳,2017-10-20,"30,001-40,000",28.0,2.02,1014000.0
1526,日馳,2017-10-20,"40,001-50,000",17.0,1.62,812000.0
1526,日馳,2017-10-20,"400,001-600,000",7.0,6.91,3457341.0
1526,日馳,2017-10-20,"5,001-10,000",352.0,5.81,2909530.0
1526,日馳,2017-10-20,"50,001-100,000",35.0,5.05,2528518.0
1526,日馳,2017-10-20,"600,001-800,000",4.0,5.12,2561761.0
1526,日馳,2017-10-20,"800,001-1,000,000",1.0,1.73,868000.0
1526,日馳,2017-10-20,"more than 1,000,001",3.0,38.01,19009184.0
1526,日馳,2017-10-20,total,11190.0,100.0,50000000.0
1526,日馳,2017-10-27,1-999,8282.0,1.16,584550.0
1526,日馳,2017-10-27,"1,000-5,000",1966.0,8.28,4143100.0
1526,日馳,2017-10-27,"10,001-15,000",95.0,2.46,1232088.0
1526,日馳,2017-10-27,"100,001-200,000",32.0,8.24,4123224.0
1526,日馳,2017-10-27,"15,001-20,000",65.0,2.43,1215812.0
1526,日馳,2017-10-27,"20,001-30,000",78.0,4.07,2037598.0
1526,日馳,2017-10-27,"200,001-400,000",11.0,6.31,3158462.0
1526,日馳,2017-10-27,"30,001-40,000",37.0,2.61,1307000.0
1526,日馳,2017-10-27,"40,001-50,000",16.0,1.46,732162.0
1526,日馳,2017-10-27,"400,001-600,000",5.0,4.97,2485341.0
1526,日馳,2017-10-27,"5,001-10,000",334.0,5.47,2735428.0
1526,日馳,2017-10-27,"50,001-100,000",45.0,6.53,3268356.0
1526,日馳,2017-10-27,"600,001-800,000",6.0,7.93,3967761.0
1526,日馳,2017-10-27,"800,001-1,000,000",0.0,0.0,0.0
1526,日馳,2017-10-27,"more than 1,000,001",3.0,38.01,19009118.0
1526,日馳,2017-10-27,total,10975.0,100.0,50000000.0
1526,日馳,2017-11-03,1-999,8270.0,1.16,584657.0
1526,日馳,2017-11-03,"1,000-5,000",1701.0,7.31,3656876.0
1526,日馳,2017-11-03,"10,001-15,000",86.0,2.28,1140657.0
1526,日馳,2017-11-03,"100,001-200,000",33.0,9.34,4670477.0
1526,日馳,2017-11-03,"15,001-20,000",63.0,2.33,1169812.0
1526,日馳,2017-11-03,"20,001-30,000",60.0,3.19,1599718.0
1526,日馳,2017-11-03,"200,001-400,000",13.0,7.84,3923624.0
1526,日馳,2017-11-03,"30,001-40,000",39.0,2.76,1384000.0
1526,日馳,2017-11-03,"40,001-50,000",18.0,1.66,832000.0
1526,日馳,2017-11-03,"400,001-600,000",4.0,4.11,2059341.0
1526,日馳,2017-11-03,"5,001-10,000",294.0,4.78,2394282.0
1526,日馳,2017-11-03,"50,001-100,000",52.0,7.04,3524103.0
1526,日馳,2017-11-03,"600,001-800,000",5.0,6.42,3211761.0
1526,日馳,2017-11-03,"800,001-1,000,000",1.0,1.69,848000.0
1526,日馳,2017-11-03,"more than 1,000,001",3.0,38.0,19000692.0
1526,日馳,2017-11-03,total,10642.0,100.0,50000000.0
1526,日馳,2017-11-17,1-999,8253.0,1.14,574239.0
1526,日馳,2017-11-17,"1,000-5,000",1976.0,8.15,4078860.0
1526,日馳,2017-11-17,"10,001-15,000",102.0,2.69,1348030.0
1526,日馳,2017-11-17,"100,001-200,000",28.0,7.53,3769477.0
1526,日馳,2017-11-17,"15,001-20,000",72.0,2.66,1333781.0
1526,日馳,2017-11-17,"20,001-30,000",54.0,2.81,1409598.0
1526,日馳,2017-11-17,"200,001-400,000",15.0,8.14,4070462.0
1526,日馳,2017-11-17,"30,001-40,000",34.0,2.38,1194000.0
1526,日馳,2017-11-17,"40,001-50,000",16.0,1.43,716080.0
1526,日馳,2017-11-17,"400,001-600,000",9.0,9.39,4696208.0
1526,日馳,2017-11-17,"5,001-10,000",321.0,5.3,2653315.0
1526,日馳,2017-11-17,"50,001-100,000",55.0,7.42,3712628.0
1526,日馳,2017-11-17,"600,001-800,000",1.0,1.23,616056.0
1526,日馳,2017-11-17,"800,001-1,000,000",1.0,1.67,835000.0
1526,日馳,2017-11-17,"more than 1,000,001",3.0,37.98,18992266.0
1526,日馳,2017-11-17,total,10940.0,100.0,50000000.0
1526,日馳,2017-11-24,1-999,8247.0,1.14,572694.0
1526,日馳,2017-11-24,"1,000-5,000",1970.0,8.21,4107475.0
1526,日馳,2017-11-24,"10,001-15,000",107.0,2.84,1420060.0
1526,日馳,2017-11-24,"100,001-200,000",21.0,5.76,2882477.0
1526,日馳,2017-11-24,"15,001-20,000",63.0,2.32,1162781.0
1526,日馳,2017-11-24,"20,001-30,000",58.0,2.96,1482598.0
1526,日馳,2017-11-24,"200,001-400,000",19.0,10.9,5454624.0
