stock_id,stock_name,date,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Note
1522,堤維西,2001-01-05,499.0,0.0,41176.0,703.0,4605.0,4809.0,233.0,61.0,0.0,41176.0,233.0,610.0,438.0,
1522,堤維西,2001-01-08,333.0,0.0,41176.0,512.0,4426.0,4605.0,137.0,42.0,0.0,41176.0,115.0,683.0,610.0,
1522,堤維西,2001-01-09,277.0,18.0,41176.0,663.0,4022.0,4426.0,83.0,18.0,15.0,41176.0,125.0,775.0,683.0,
1522,堤維西,2001-01-10,255.0,0.0,41176.0,159.0,4118.0,4022.0,110.0,37.0,0.0,41176.0,21.0,759.0,775.0,
1522,堤維西,2001-01-11,336.0,2.0,41176.0,285.0,4167.0,4118.0,0.0,84.0,0.0,41176.0,0.0,675.0,759.0,
1522,堤維西,2001-01-12,126.0,5.0,41176.0,181.0,4109.0,4169.0,0.0,21.0,0.0,41176.0,0.0,654.0,675.0,
1522,堤維西,2001-01-15,144.0,0.0,41176.0,144.0,4109.0,4109.0,0.0,81.0,0.0,41176.0,1.0,574.0,654.0,
1522,堤維西,2001-01-16,124.0,2.0,41176.0,164.0,4067.0,4109.0,16.0,52.0,0.0,41176.0,10.0,532.0,574.0,
1522,堤維西,2001-01-17,157.0,61.0,41176.0,117.0,4046.0,4067.0,18.0,37.0,0.0,41176.0,5.0,500.0,532.0,
1522,堤維西,2001-01-18,67.0,116.0,41176.0,98.0,3899.0,4046.0,21.0,39.0,0.0,41176.0,0.0,461.0,500.0,
1522,堤維西,2001-01-29,389.0,5.0,41176.0,121.0,4162.0,3899.0,0.0,50.0,0.0,41176.0,0.0,411.0,461.0,
1522,堤維西,2001-01-30,268.0,0.0,41176.0,364.0,4061.0,4157.0,0.0,76.0,0.0,41176.0,20.0,355.0,411.0,
1522,堤維西,2001-01-31,505.0,2.0,41176.0,121.0,4443.0,4061.0,216.0,81.0,0.0,41176.0,7.0,281.0,355.0,
1522,堤維西,2001-02-01,329.0,3.0,41176.0,398.0,4371.0,4443.0,10.0,21.0,0.0,41176.0,0.0,263.0,284.0,
1522,堤維西,2001-02-02,454.0,0.0,41176.0,384.0,4441.0,4371.0,150.0,23.0,0.0,41176.0,13.0,253.0,263.0,
1522,堤維西,2001-02-05,672.0,2.0,41176.0,478.0,4633.0,4441.0,158.0,7.0,0.0,41176.0,2.0,248.0,253.0,
1522,堤維西,2001-02-06,769.0,0.0,41176.0,663.0,4739.0,4633.0,38.0,37.0,0.0,41176.0,4.0,215.0,248.0,
1522,堤維西,2001-02-07,340.0,1.0,41176.0,277.0,4801.0,4739.0,21.0,9.0,0.0,41176.0,0.0,206.0,215.0,
1522,堤維西,2001-02-08,186.0,3.0,41176.0,183.0,4811.0,4811.0,46.0,0.0,3.0,41176.0,13.0,216.0,206.0,
1522,堤維西,2001-02-09,296.0,4.0,41176.0,329.0,4774.0,4811.0,88.0,18.0,2.0,41176.0,1.0,197.0,216.0,
1522,堤維西,2001-02-12,454.0,1.0,41176.0,366.0,4861.0,4774.0,34.0,0.0,0.0,41176.0,5.0,202.0,197.0,
1522,堤維西,2001-02-13,442.0,14.0,41176.0,189.0,5100.0,4861.0,40.0,28.0,0.0,41176.0,0.0,174.0,202.0,
1522,堤維西,2001-02-14,111.0,10.0,41176.0,232.0,4969.0,5100.0,6.0,1.0,0.0,41176.0,0.0,173.0,174.0,
1522,堤維西,2001-02-15,210.0,0.0,41176.0,248.0,4933.0,4971.0,19.0,2.0,0.0,41176.0,0.0,171.0,173.0,
1522,堤維西,2001-02-16,241.0,14.0,41176.0,146.0,5014.0,4933.0,13.0,0.0,0.0,41176.0,0.0,171.0,171.0,
1522,堤維西,2001-02-19,101.0,98.0,41176.0,102.0,4915.0,5014.0,0.0,10.0,0.0,41176.0,0.0,161.0,171.0,
1522,堤維西,2001-02-20,563.0,7.0,41176.0,312.0,5159.0,4915.0,106.0,0.0,0.0,41176.0,2.0,163.0,161.0,
1522,堤維西,2001-02-21,533.0,0.0,41176.0,393.0,5299.0,5159.0,164.0,0.0,0.0,41176.0,160.0,323.0,163.0,
1522,堤維西,2001-02-22,2521.0,5.0,41176.0,1309.0,6506.0,5299.0,581.0,8.0,0.0,41176.0,123.0,438.0,323.0,
1522,堤維西,2001-02-23,1592.0,10.0,41176.0,1211.0,6877.0,6506.0,78.0,43.0,0.0,41176.0,2.0,397.0,438.0,
