stock_id,stock_name,date,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Note
3523,迎輝,2008-05-16,0.0,0.0,22584.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,       
3523,迎輝,2008-05-19,657.0,0.0,22584.0,0.0,657.0,0.0,-1000000.0,0.0,0.0,94.0,0.0,0.0,0.0,       
3523,迎輝,2008-05-20,204.0,0.0,22584.0,80.0,781.0,657.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,       
3523,迎輝,2008-05-21,117.0,0.0,22584.0,52.0,846.0,781.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,       
3523,迎輝,2008-05-22,55.0,0.0,22584.0,22.0,879.0,846.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,       
3523,迎輝,2008-05-23,262.0,0.0,22584.0,153.0,988.0,879.0,-1000000.0,3.0,0.0,80.0,0.0,3.0,0.0,       
3523,迎輝,2008-05-26,116.0,0.0,22584.0,163.0,941.0,988.0,-1000000.0,0.0,0.0,0.0,2.0,1.0,3.0,       
3523,迎輝,2008-05-27,130.0,0.0,22584.0,64.0,1007.0,941.0,-1000000.0,0.0,0.0,0.0,0.0,1.0,1.0,       
3523,迎輝,2008-05-28,194.0,0.0,22584.0,105.0,1096.0,1007.0,-1000000.0,11.0,0.0,75.0,0.0,12.0,1.0,       
3523,迎輝,2008-05-29,63.0,0.0,22584.0,77.0,1082.0,1096.0,-1000000.0,1.0,0.0,27.0,0.0,13.0,12.0,       
3523,迎輝,2008-05-30,133.0,0.0,22584.0,140.0,1075.0,1082.0,-1000000.0,3.0,0.0,0.0,1.0,15.0,13.0,       
3523,迎輝,2008-06-02,56.0,0.0,22584.0,31.0,1100.0,1075.0,-1000000.0,47.0,0.0,0.0,0.0,62.0,15.0,       
3523,迎輝,2008-06-03,27.0,0.0,22584.0,27.0,1100.0,1100.0,-1000000.0,31.0,0.0,4.0,0.0,93.0,62.0,       
3523,迎輝,2008-06-04,135.0,0.0,22584.0,38.0,1197.0,1100.0,-1000000.0,0.0,0.0,0.0,28.0,65.0,93.0,       
3523,迎輝,2008-06-05,79.0,0.0,22584.0,46.0,1230.0,1197.0,-1000000.0,17.0,0.0,13.0,9.0,73.0,65.0,       
