date,stock_id,dividend_yield,PER,PBR
2005-09-05,1110,3.86,25.88,0.47
2005-09-06,1110,3.89,25.68,0.47
2005-09-07,1110,3.94,25.4,0.46
2005-09-08,1110,3.94,25.4,0.46
2005-09-09,1110,3.95,25.32,0.46
2005-09-12,1110,4.0,25.0,0.45
2005-09-13,1110,4.03,24.84,0.45
2005-09-14,1110,4.03,24.84,0.45
2005-09-15,1110,4.09,24.44,0.44
2005-09-16,1110,4.2,23.8,0.43
2005-09-19,1110,4.14,24.16,0.44
2005-09-20,1110,4.11,24.32,0.44
2005-09-21,1110,4.15,24.12,0.44
2005-09-23,1110,4.17,24.0,0.44
2005-09-26,1110,4.23,23.64,0.43
2005-09-27,1110,4.19,23.84,0.43
2005-09-28,1110,4.19,23.88,0.43
2005-09-29,1110,4.16,24.04,0.44
2005-09-30,1110,4.03,24.84,0.45
2005-10-04,1110,4.01,24.96,0.45
2005-10-05,1110,4.05,24.72,0.45
2005-10-06,1110,4.1,24.4,0.44
2005-10-07,1110,4.13,24.24,0.44
2005-10-11,1110,4.13,24.24,0.44
2005-10-12,1110,4.19,23.84,0.43
2005-10-13,1110,4.23,23.64,0.43
2005-10-14,1110,4.2,23.8,0.43
2005-10-17,1110,4.24,23.6,0.43
2005-10-18,1110,4.22,23.72,0.43
2005-10-19,1110,4.27,23.4,0.43
2005-10-20,1110,4.42,22.6,0.41
2005-10-21,1110,4.23,23.64,0.43
2005-10-24,1110,4.28,23.36,0.42
2005-10-25,1110,4.24,23.6,0.43
2005-10-26,1110,4.25,23.52,0.43
2005-10-27,1110,4.26,23.48,0.43
2005-10-28,1110,4.55,22.0,0.39
2005-10-31,1110,4.55,20.37,0.39
2005-11-01,1110,4.53,20.44,0.4
2005-11-02,1110,4.51,20.52,0.4
2005-11-03,1110,4.54,20.41,0.4
2005-11-04,1110,4.54,20.41,0.4
2005-11-07,1110,4.57,20.26,0.39
2005-11-08,1110,4.59,20.19,0.39
2005-11-09,1110,4.59,20.19,0.39
2005-11-10,1110,4.59,20.19,0.39
2005-11-11,1110,4.49,20.63,0.4
2005-11-14,1110,4.46,20.74,0.4
2005-11-15,1110,4.5,20.59,0.4
2005-11-16,1110,4.28,21.63,0.42
2005-11-17,1110,4.26,21.74,0.42
2005-11-18,1110,4.29,21.59,0.42
2005-11-21,1110,4.25,21.78,0.42
2005-11-22,1110,4.24,21.81,0.42
2005-11-23,1110,4.27,21.67,0.42
2005-11-24,1110,4.27,21.67,0.42
2005-11-25,1110,4.3,21.52,0.42
2005-11-28,1110,4.3,21.52,0.42
2005-11-29,1110,4.3,21.52,0.42
2005-11-30,1110,4.27,21.67,0.42
2005-12-01,1110,4.3,21.52,0.42
2005-12-02,1110,4.31,21.48,0.42
2005-12-05,1110,4.32,21.44,0.42
2005-12-06,1110,4.31,21.48,0.42
2005-12-07,1110,4.34,21.33,0.41
2005-12-08,1110,4.33,21.37,0.41
2005-12-09,1110,4.34,21.33,0.41
2005-12-12,1110,4.38,21.15,0.41
2005-12-13,1110,4.41,21.0,0.41
2005-12-14,1110,4.36,21.22,0.41
2005-12-15,1110,4.36,21.26,0.41
2005-12-16,1110,4.29,21.59,0.42
2005-12-19,1110,4.22,21.93,0.42
2005-12-20,1110,4.14,22.37,0.43
2005-12-21,1110,4.14,22.37,0.43
2005-12-22,1110,4.18,22.15,0.43
2005-12-23,1110,4.19,22.07,0.43
2005-12-26,1110,4.11,22.52,0.44
2005-12-27,1110,4.1,22.59,0.44
2005-12-28,1110,4.02,23.04,0.45
2005-12-29,1110,3.94,23.48,0.46
2005-12-30,1110,3.88,23.89,0.46
2006-01-02,1110,3.83,24.15,0.47
2006-01-03,1110,3.85,24.04,0.47
2006-01-04,1110,3.85,24.07,0.47
2006-01-05,1110,3.82,24.22,0.47
2006-01-06,1110,3.88,23.85,0.46
2006-01-09,1110,3.91,23.67,0.46
2006-01-10,1110,3.94,23.52,0.46
2006-01-11,1110,3.79,24.44,0.47
2006-01-12,1110,3.7,25.0,0.48
2006-01-13,1110,3.68,25.19,0.49
2006-01-16,1110,3.69,25.11,0.49
2006-01-17,1110,3.71,24.96,0.48
2006-01-18,1110,3.83,24.19,0.47
2006-01-19,1110,3.87,23.93,0.46
2006-01-20,1110,3.86,23.96,0.46
2006-01-23,1110,3.88,23.89,0.46
2006-01-24,1110,3.82,24.22,0.47
2006-01-25,1110,3.95,23.44,0.45
2006-02-03,1110,3.84,24.11,0.47
2006-02-06,1110,3.81,24.3,0.47
2006-02-07,1110,3.86,23.96,0.46
2006-02-08,1110,3.82,24.26,0.47
2006-02-09,1110,3.87,23.93,0.46
2006-02-10,1110,3.88,23.89,0.46
2006-02-13,1110,4.03,22.96,0.45
2006-02-14,1110,4.03,23.0,0.45
2006-02-15,1110,3.97,23.33,0.45
2006-02-16,1110,3.96,23.41,0.45
2006-02-17,1110,3.96,23.41,0.45
2006-02-20,1110,3.96,23.37,0.45
2006-02-21,1110,3.97,23.3,0.45
2006-02-22,1110,3.97,23.33,0.45
2006-02-23,1110,3.97,23.33,0.45
2006-02-24,1110,3.96,23.37,0.45
2006-02-27,1110,3.97,23.33,0.45
2006-03-01,1110,3.94,23.48,0.46
2006-03-02,1110,3.97,23.33,0.45
2006-03-03,1110,3.97,23.3,0.45
2006-03-06,1110,4.01,23.07,0.45
2006-03-07,1110,4.03,22.96,0.45
2006-03-08,1110,4.03,23.0,0.45
2006-03-09,1110,4.05,22.85,0.44
2006-03-10,1110,4.05,22.85,0.44
2006-03-13,1110,4.05,22.85,0.44
