stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
3004,豐達科,2012-08-13,47.8,47.6,0.2,息,50.9,44.3,47.6,47.6
3004,豐達科,2013-08-23,38.95,37.95,0.99,息,40.6,35.3,37.95,37.95
3004,豐達科,2014-09-03,66.7,65.71,0.99,息,70.3,61.2,65.7,65.71
3004,豐達科,2015-01-08,54.0,50.38,3.62,權,57.7,46.9,54.0,54.0
3004,豐達科,2016-08-25,57.0,55.2,1.8,息,60.7,49.7,55.2,55.2
3004,豐達科,2017-08-28,48.2,46.7,1.5,息,51.3,42.05,46.7,46.7
3004,豐達科,2018-08-20,56.7,54.7,2.0,息,60.1,49.25,54.7,54.7
3004,豐達科,2019-08-19,92.2,89.7,2.5,息,98.6,80.8,89.7,89.7
3004,豐達科,2020-03-30,53.6,50.93,2.67,息,56.0,45.85,50.9,50.93
3004,豐達科,2021-03-31,65.1,64.6,0.5,息,71.0,58.2,64.6,64.6
