stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
3041,揚智,2008-07-29,46.65,43.66,2.99,權息,46.7,40.65,43.65,43.66
3041,揚智,2009-08-17,68.8,68.28,0.52,權息,73.0,63.6,68.3,68.28
3041,揚智,2010-07-19,52.6,50.67,1.93,息,54.2,47.15,50.7,50.67
3041,揚智,2011-08-15,30.35,27.75,2.6,息,29.65,25.85,27.75,27.75
3041,揚智,2012-07-25,31.7,29.92,1.78,息,32.0,27.85,29.9,29.92
3041,揚智,2013-07-31,30.25,28.25,2.0,息,30.2,26.3,28.25,28.25
3041,揚智,2014-07-24,32.5,30.2,2.3,息,32.3,28.1,30.2,30.2
3041,揚智,2015-07-23,15.05,14.25,0.79,息,15.65,12.85,14.25,14.25
