stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
3036,文曄,2008-08-05,27.1,23.48,3.63,權息,25.1,21.85,23.5,23.48
3036,文曄,2009-09-04,23.5,22.25,1.25,權息,23.8,20.7,22.25,22.25
3036,文曄,2010-07-28,40.25,38.28,1.96,息,40.95,35.65,38.3,38.28
3036,文曄,2011-07-27,55.4,50.59,4.8,權息,54.1,47.05,50.6,50.59
3036,文曄,2011-08-12,46.3,45.84,0.45,權,49.5,42.65,46.3,46.3
3036,文曄,2012-08-02,38.8,35.05,3.75,權息,37.5,32.6,35.05,35.05
3036,文曄,2013-07-23,35.0,32.9,2.1,息,35.2,30.6,32.9,32.9
3036,文曄,2014-07-29,45.45,40.9,4.55,權息,43.75,38.05,40.9,40.9
3036,文曄,2015-01-13,48.05,46.75,1.3,權,51.4,43.5,48.05,48.05
3036,文曄,2015-07-31,44.6,37.81,6.78,權息,41.55,34.05,37.8,37.81
3036,文曄,2016-08-04,44.3,39.42,4.87,權息,43.35,35.5,39.4,39.42
3036,文曄,2017-08-03,45.8,43.4,2.4,息,47.7,39.1,43.4,43.4
3036,文曄,2017-11-20,47.4,46.12,1.28,權,52.1,41.55,47.4,47.4
3036,文曄,2018-08-06,45.15,42.65,2.5,息,46.9,38.4,42.65,42.65
3036,文曄,2019-08-29,40.05,37.69,2.35,息,41.45,33.95,37.7,37.69
3036,文曄,2020-08-24,41.65,39.56,2.09,息,43.5,35.65,39.55,39.56
