stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2462,良得電,2008-09-23,13.35,11.68,1.67,權息,12.45,10.9,11.7,11.68
2462,良得電,2009-09-09,59.9,56.76,3.13,權息,60.7,52.8,56.8,56.76
2462,良得電,2010-07-12,42.75,39.75,3.0,息,42.5,37.0,39.75,39.75
2462,良得電,2011-07-21,29.9,27.08,2.81,權息,28.95,25.2,27.1,27.08
2462,良得電,2012-08-09,33.65,29.66,3.98,權息,31.7,27.6,29.65,29.66
2462,良得電,2013-07-22,29.15,26.65,2.5,息,28.5,24.8,26.65,26.65
2462,良得電,2014-10-01,29.45,26.72,2.73,權息,28.55,24.85,26.7,26.72
2462,良得電,2015-07-01,19.5,18.4,1.1,息,20.2,16.6,18.4,18.4
2462,良得電,2016-07-28,18.15,16.62,1.53,權息,18.25,15.0,16.6,16.62
2462,良得電,2017-07-26,24.95,24.35,0.6,息,26.75,21.95,24.35,24.35
2462,良得電,2019-07-12,28.25,27.75,0.5,息,30.5,25.0,27.75,27.75
2462,良得電,2020-07-14,26.55,25.85,0.7,息,28.4,23.3,25.85,25.85
