stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
6147,頎邦,2008-08-05,21.7,18.85,2.85,除權息,20.15,17.55,18.85,18.85
6147,頎邦,2011-08-02,33.1,31.1,2.0,除息,33.25,28.95,31.1,31.1
6147,頎邦,2012-07-31,39.4,37.4,2.0,除息,40.0,34.8,37.4,37.4
6147,頎邦,2013-08-07,60.5,57.9,2.6,除息,61.9,53.9,57.9,57.9
6147,頎邦,2014-07-24,51.5,48.9,2.6,除息,52.3,45.5,48.9,48.9
6147,頎邦,2015-07-23,50.0,47.4,2.6,除息,52.1,42.7,47.4,47.4
6147,頎邦,2016-07-28,43.35,41.25,2.1,除息,45.35,37.15,41.25,41.25
6147,頎邦,2017-07-27,52.9,50.8,2.1,除息,55.8,45.75,50.8,50.8
6147,頎邦,2018-07-25,68.3,65.95,2.35,除息,72.5,59.4,66.0,65.95
6147,頎邦,2019-07-25,67.3,63.8,3.5,除息,70.1,57.5,63.8,63.8
6147,頎邦,2020-07-23,65.4,61.2,4.2,除息,67.3,55.1,61.2,61.2
