stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2059,川湖,2008-08-08,184.0,170.58,13.42,權息,182.5,159.0,170.5,170.58
2059,川湖,2009-08-26,169.5,151.36,18.14,權息,161.5,141.0,151.5,151.36
2059,川湖,2010-08-20,169.0,156.19,12.81,權息,167.0,145.5,156.0,156.19
2059,川湖,2011-07-26,132.0,126.5,5.5,息,135.0,118.0,126.5,126.5
2059,川湖,2012-08-01,174.0,169.5,4.5,息,181.0,158.0,169.5,169.5
2059,川湖,2013-08-01,268.0,262.05,5.94,息,280.0,244.0,262.0,262.05
2059,川湖,2014-08-26,395.5,388.0,7.5,息,415.0,361.0,388.0,388.0
2059,川湖,2015-08-27,409.0,400.0,9.0,息,440.0,360.0,400.0,400.0
2059,川湖,2016-08-29,387.0,376.9,10.1,息,414.5,339.5,377.0,376.9
2059,川湖,2017-08-29,406.0,397.75,8.25,息,437.5,358.0,398.0,397.75
2059,川湖,2018-08-29,406.0,401.0,5.0,息,441.0,361.0,401.0,401.0
2059,川湖,2019-08-27,340.0,330.5,9.5,息,363.5,297.5,330.5,330.5
2059,川湖,2020-08-27,322.5,314.5,8.0,息,345.5,283.5,314.5,314.5
