stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2642,宅配通,2014-06-26,45.6,44.1,1.5,息,47.15,41.05,44.1,44.1
2642,宅配通,2015-06-30,32.25,31.15,1.1,息,34.25,28.05,31.15,31.15
2642,宅配通,2016-07-04,24.5,23.9,0.6,息,26.25,21.55,23.9,23.9
2642,宅配通,2017-07-03,24.75,24.3,0.45,息,26.7,21.9,24.3,24.3
2642,宅配通,2018-07-03,25.45,24.4,1.05,息,26.8,22.0,24.4,24.4
2642,宅配通,2019-06-20,22.95,22.35,0.6,息,24.55,20.15,22.35,22.35
2642,宅配通,2020-06-15,36.7,35.5,1.2,息,39.05,31.95,35.5,35.5
