stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2801,彰銀,2008-07-17,17.7,16.8,0.9,息,17.95,15.65,16.8,16.8
2801,彰銀,2009-07-23,15.1,14.5,0.6,息,15.5,13.5,14.5,14.5
2801,彰銀,2010-07-15,16.25,15.95,0.3,息,17.05,14.85,15.95,15.95
2801,彰銀,2011-07-28,25.0,22.67,2.32,權息,24.25,21.1,22.65,22.67
2801,彰銀,2012-08-16,16.45,15.18,1.26,權息,16.2,14.15,15.2,15.18
2801,彰銀,2013-08-21,16.75,15.56,1.19,權息,16.6,14.5,15.55,15.56
2801,彰銀,2014-08-06,18.8,17.84,0.96,權息,19.05,16.6,17.85,17.84
2801,彰銀,2015-08-12,17.45,16.12,1.33,權息,17.7,14.55,16.1,16.12
2801,彰銀,2016-08-10,17.4,16.08,1.32,權息,17.65,14.5,16.1,16.08
2801,彰銀,2017-08-09,18.05,16.79,1.26,權息,18.45,15.15,16.8,16.79
2801,彰銀,2018-09-04,19.2,18.02,1.17,權息,19.8,16.25,18.0,18.02
2801,彰銀,2019-08-06,21.15,20.1,1.04,權息,22.1,18.1,20.1,20.1
2801,彰銀,2020-08-11,19.4,18.26,1.13,權息,20.05,16.45,18.25,18.26
