stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
3027,盛達,2008-08-14,17.1,15.04,2.06,息,16.05,14.0,15.05,15.04
3027,盛達,2009-07-07,11.0,10.8,0.2,息,11.55,10.05,10.8,10.8
3027,盛達,2010-07-07,23.15,22.25,0.9,息,23.8,20.7,22.25,22.25
3027,盛達,2011-08-03,11.3,11.19,0.1,息,11.95,10.45,11.2,11.19
3027,盛達,2012-10-04,14.1,13.8,0.3,息,14.75,12.85,13.8,13.8
3027,盛達,2013-08-29,11.9,11.75,0.15,息,12.55,10.95,11.75,11.75
3027,盛達,2014-09-01,19.6,18.79,0.81,權息,20.1,17.5,18.8,18.79
3027,盛達,2015-09-01,10.1,9.7,0.4,權息,10.65,8.73,9.7,9.7
3027,盛達,2016-08-29,13.8,13.65,0.15,息,15.0,12.3,13.65,13.65
3027,盛達,2017-08-21,11.7,11.51,0.18,權息,12.65,10.4,11.5,11.51
