stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
6117,迎廣,2008-08-07,14.0,13.7,0.3,息,14.65,12.75,13.7,13.7
6117,迎廣,2009-08-06,15.95,15.45,0.5,息,16.5,14.4,15.45,15.45
6117,迎廣,2010-08-05,19.95,19.75,0.2,息,21.1,18.4,19.75,19.75
6117,迎廣,2011-08-04,14.6,14.3,0.3,息,15.3,13.3,14.3,14.3
6117,迎廣,2012-07-30,12.05,11.65,0.4,息,12.45,10.85,11.65,11.65
6117,迎廣,2013-07-30,14.95,14.75,0.2,息,15.75,13.75,14.75,14.75
6117,迎廣,2014-07-30,23.45,23.2,0.25,息,24.8,21.6,23.2,23.2
6117,迎廣,2015-07-30,13.95,13.65,0.3,息,15.0,12.3,13.65,13.65
6117,迎廣,2018-07-25,16.2,15.0,1.2,息,16.5,13.5,15.0,15.0
