stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
4745,合富-KY,2013-07-11,79.3,76.3,3.0,除息,81.6,71.0,76.3,76.3
4745,合富-KY,2014-08-07,113.0,109.35,3.65,除息,117.0,102.0,109.5,109.35
4745,合富-KY,2015-07-16,76.6,71.53,5.07,除權息,78.6,64.4,71.5,71.53
4745,合富-KY,2016-08-11,66.7,64.1,2.6,除息,70.5,57.7,64.1,64.1
4745,合富-KY,2017-08-29,41.55,39.55,2.0,除息,43.5,35.6,39.55,39.55
4745,合富-KY,2018-07-05,43.3,39.18,4.12,除權息,43.05,35.3,39.2,39.18
4745,合富-KY,2019-08-05,50.2,41.58,8.62,除權息,45.7,37.45,41.6,41.58
4745,合富-KY,2020-07-16,43.1,39.9,3.2,除權息,43.85,35.95,39.9,39.9
