stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
1736,喬山,2008-08-21,40.2,38.38,1.82,權息,41.05,35.7,38.4,38.38
1736,喬山,2009-09-11,29.4,28.52,0.87,權息,30.5,26.55,28.5,28.52
1736,喬山,2010-09-13,46.1,45.8,0.3,息,49.0,42.6,45.8,45.8
1736,喬山,2011-09-16,57.5,55.6,1.89,權息,59.4,51.8,55.6,55.6
1736,喬山,2012-09-13,68.2,65.92,2.28,權息,70.5,61.4,65.9,65.92
1736,喬山,2013-08-29,93.3,91.34,1.96,權息,97.7,85.0,91.3,91.34
1736,喬山,2014-07-22,101.5,66.33,35.17,權息,70.9,61.7,66.3,66.33
1736,喬山,2015-08-27,41.1,39.4,1.7,權息,43.3,35.5,39.4,39.4
1736,喬山,2016-09-10,49.75,48.74,1.0,息,53.6,43.9,48.75,48.74
1736,喬山,2017-08-10,36.75,35.6,1.15,息,39.15,32.05,35.6,35.6
1736,喬山,2018-07-18,30.2,29.9,0.3,息,32.85,26.95,29.9,29.9
1736,喬山,2019-07-17,79.0,78.35,0.65,息,86.1,70.6,78.4,78.35
1736,喬山,2020-09-16,69.8,68.39,1.4,息,75.2,61.6,68.4,68.39
