stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2913,農林,2010-02-05,17.55,17.26,0.29,權,18.75,16.1,17.55,17.55
2913,農林,2010-09-14,19.5,19.38,0.12,息,20.7,18.05,19.4,19.38
2913,農林,2011-07-26,19.85,19.65,0.19,息,21.0,18.3,19.65,19.65
2913,農林,2012-07-19,14.05,13.8,0.25,息,14.75,12.85,13.8,13.8
2913,農林,2014-07-16,19.5,19.0,0.5,息,20.3,17.7,19.0,19.0
2913,農林,2015-07-17,15.2,14.59,0.61,息,16.0,13.15,14.6,14.59
2913,農林,2016-07-21,15.55,15.05,0.5,息,16.55,13.55,15.05,15.05
2913,農林,2017-08-25,16.45,15.95,0.5,息,17.5,14.4,15.95,15.95
2913,農林,2018-11-28,17.25,16.76,0.49,息,18.4,15.1,16.75,16.76
2913,農林,2019-08-23,15.65,15.35,0.3,息,16.85,13.85,15.35,15.35
