stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
1465,2016-10-28,,0,0,0
1465,2016-10-31,,0,0,0
1465,2016-11-01,,0,0,0
1465,2016-11-02,,0,0,0
1465,2016-11-03,,1000,12650,12900
1465,2016-11-04,,0,0,0
1465,2016-11-07,,0,0,0
1465,2016-11-08,,0,0,0
1465,2016-11-09,,0,0,0
1465,2016-11-10,,0,0,0
1465,2016-11-11,,0,0,0
1465,2016-11-14,,0,0,0
1465,2016-11-15,,0,0,0
1465,2016-11-16,,0,0,0
1465,2016-11-17,,0,0,0
1465,2016-11-18,,2000,24700,25100
1465,2016-11-21,,0,0,0
1465,2016-11-22,,0,0,0
1465,2016-11-23,,0,0,0
1465,2016-11-24,,0,0,0
1465,2016-11-25,,0,0,0
1465,2016-11-28,,0,0,0
1465,2016-11-29,,0,0,0
1465,2016-11-30,,0,0,0
1465,2016-12-01,,0,0,0
1465,2016-12-02,,0,0,0
1465,2016-12-05,,1000,12650,12850
1465,2016-12-06,,0,0,0
1465,2016-12-07,,0,0,0
1465,2016-12-08,,0,0,0
1465,2016-12-09,,0,0,0
1465,2016-12-12,,1000,12600,12600
1465,2016-12-13,,0,0,0
1465,2016-12-14,,0,0,0
1465,2016-12-15,,1000,12500,12600
1465,2016-12-16,,0,0,0
1465,2016-12-19,,0,0,0
1465,2016-12-20,,0,0,0
1465,2016-12-21,,0,0,0
1465,2016-12-22,,0,0,0
1465,2016-12-23,,0,0,0
1465,2016-12-26,,0,0,0
1465,2016-12-27,,0,0,0
1465,2016-12-28,,0,0,0
1465,2016-12-29,,0,0,0
1465,2016-12-30,,1000,12750,12500
1465,2017-01-03,,0,0,0
1465,2017-01-04,,0,0,0
1465,2017-01-05,,1000,12500,12600
1465,2017-01-06,,0,0,0
1465,2017-01-09,,0,0,0
1465,2017-01-10,,0,0,0
1465,2017-01-11,,1000,12600,12700
1465,2017-01-12,,0,0,0
1465,2017-01-13,,0,0,0
1465,2017-01-16,,0,0,0
1465,2017-01-17,,0,0,0
1465,2017-01-18,,0,0,0
1465,2017-01-19,,0,0,0
1465,2017-01-20,,0,0,0
1465,2017-01-23,,0,0,0
1465,2017-01-24,,0,0,0
1465,2017-02-02,,0,0,0
1465,2017-02-03,,0,0,0
1465,2017-02-06,,3000,38750,38950
1465,2017-02-07,,0,0,0
1465,2017-02-08,,2000,26100,25850
1465,2017-02-09,,0,0,0
1465,2017-02-10,,0,0,0
1465,2017-02-13,,0,0,0
1465,2017-02-14,,0,0,0
1465,2017-02-15,,3000,38100,38700
1465,2017-02-16,,0,0,0
1465,2017-02-17,,0,0,0
1465,2017-02-20,,0,0,0
1465,2017-02-21,,0,0,0
1465,2017-02-22,,0,0,0
1465,2017-02-23,,0,0,0
1465,2017-02-24,,0,0,0
1465,2017-03-01,,0,0,0
1465,2017-03-02,,0,0,0
1465,2017-03-03,,0,0,0
1465,2017-03-06,,0,0,0
1465,2017-03-07,,11000,144100,143550
1465,2017-03-08,,1000,13100,13000
1465,2017-03-09,,0,0,0
1465,2017-03-10,,2000,25800,25700
1465,2017-03-13,,0,0,0
1465,2017-03-14,,0,0,0
1465,2017-03-15,,0,0,0
1465,2017-03-16,,0,0,0
1465,2017-03-17,,0,0,0
1465,2017-03-20,,4000,51600,51450
1465,2017-03-21,,20000,258000,257000
1465,2017-03-22,,0,0,0
1465,2017-03-23,,0,0,0
1465,2017-03-24,,2000,26200,25800
1465,2017-03-27,,0,0,0
1465,2017-03-28,,0,0,0
1465,2017-03-29,,0,0,0
1465,2017-03-30,,0,0,0
1465,2017-03-31,,0,0,0
1465,2017-04-05,,0,0,0
1465,2017-04-06,,0,0,0
1465,2017-04-07,,3000,39300,39750
1465,2017-04-10,,0,0,0
1465,2017-04-11,Y,0,0,0
1465,2017-04-12,Y,0,0,0
1465,2017-04-13,Y,0,0,0
1465,2017-04-14,Y,0,0,0
1465,2017-04-17,Y,0,0,0
1465,2017-04-18,,0,0,0
1465,2017-04-19,,0,0,0
1465,2017-04-20,,0,0,0
1465,2017-04-21,,0,0,0
1465,2017-04-24,,0,0,0
1465,2017-04-25,,0,0,0
1465,2017-04-26,,0,0,0
1465,2017-04-27,,0,0,0
1465,2017-04-28,,0,0,0
1465,2017-05-02,,0,0,0
1465,2017-05-03,,0,0,0
1465,2017-05-04,,0,0,0
1465,2017-05-05,,0,0,0
1465,2017-05-08,,0,0,0
1465,2017-05-09,,0,0,0
1465,2017-05-10,,0,0,0
1465,2017-05-11,,1000,12950,13100
1465,2017-05-12,,0,0,0
1465,2017-05-15,,1000,12700,12700
1465,2017-05-16,,0,0,0
1465,2017-05-17,,0,0,0
1465,2017-05-18,,0,0,0
1465,2017-05-19,,1000,12600,12700
1465,2017-05-22,,1000,12600,12750
1465,2017-05-23,,0,0,0
1465,2017-05-24,,0,0,0
1465,2017-05-25,,1000,12700,12750
1465,2017-05-26,,0,0,0
1465,2017-05-31,,0,0,0
1465,2017-06-01,,0,0,0
1465,2017-06-02,,2000,25100,25300
1465,2017-06-05,,0,0,0
1465,2017-06-06,,0,0,0
1465,2017-06-07,,12000,154800,153600
1465,2017-06-08,,0,0,0
1465,2017-06-09,,0,0,0
1465,2017-06-12,,0,0,0
1465,2017-06-13,,0,0,0
1465,2017-06-14,,0,0,0
1465,2017-06-15,,0,0,0
1465,2017-06-16,,3000,37650,38150
1465,2017-06-19,,0,0,0
1465,2017-06-20,,0,0,0
1465,2017-06-21,,0,0,0
1465,2017-06-22,,0,0,0
1465,2017-06-23,,0,0,0
1465,2017-06-26,,0,0,0
1465,2017-06-27,,0,0,0
1465,2017-06-28,,0,0,0
1465,2017-06-29,,0,0,0
1465,2017-06-30,,2000,25600,25800
1465,2017-07-03,,1000,12850,12950
1465,2017-07-04,,0,0,0
1465,2017-07-05,,0,0,0
1465,2017-07-06,,0,0,0
1465,2017-07-07,,0,0,0
1465,2017-07-10,,0,0,0
1465,2017-07-11,,0,0,0
1465,2017-07-12,,6000,77400,77350
1465,2017-07-13,,0,0,0
1465,2017-07-14,,0,0,0
1465,2017-07-17,,0,0,0
1465,2017-07-18,,0,0,0
1465,2017-07-19,,0,0,0
1465,2017-07-20,,0,0,0
1465,2017-07-21,,0,0,0
1465,2017-07-24,,0,0,0
1465,2017-07-25,,2000,25750,25900
1465,2017-07-26,,1000,12900,13000
1465,2017-07-27,,1000,12850,12950
1465,2017-07-28,Y,2000,25750,25900
1465,2017-07-31,Y,0,0,0
1465,2017-08-01,Y,2000,25800,26000
1465,2017-08-02,Y,9000,111450,111950
1465,2017-08-03,Y,0,0,0
1465,2017-08-04,,0,0,0
1465,2017-08-07,,2000,24500,24750
1465,2017-08-08,,0,0,0
1465,2017-08-09,,0,0,0
1465,2017-08-10,,0,0,0
1465,2017-08-11,,0,0,0
1465,2017-08-14,,1000,12100,12200
1465,2017-08-15,,0,0,0
1465,2017-08-16,,7000,85300,85100
1465,2017-08-17,,0,0,0
1465,2017-08-18,,0,0,0
1465,2017-08-21,,0,0,0
1465,2017-08-22,,0,0,0
1465,2017-08-23,,0,0,0
1465,2017-08-24,,0,0,0
1465,2017-08-25,,0,0,0
1465,2017-08-28,,0,0,0
1465,2017-08-29,,2000,24800,24900
1465,2017-08-30,,0,0,0
1465,2017-08-31,,0,0,0
1465,2017-09-01,,0,0,0
1465,2017-09-04,,2000,25100,25400
1465,2017-09-05,,2000,25350,25350
1465,2017-09-06,,68000,924350,946900
1465,2017-09-07,,244000,3733200,3733200
1465,2017-09-08,,4000,67200,67200
1465,2017-09-11,,22000,405900,405900
1465,2017-09-12,,1174000,22091300,22238650
1465,2017-09-13,,672000,12060850,12047300
1465,2017-09-28,,348000,6189300,6175950
1465,2017-09-29,,208000,3426100,3388400
1465,2017-10-02,,156000,2599400,2621100
1465,2017-10-03,,47000,787000,787950
1465,2017-10-05,,13000,211100,214400
1465,2017-10-06,,43000,695250,703600
1465,2017-10-11,,32000,540450,542450
1465,2017-10-12,,28000,466900,469450
1465,2017-10-13,,1000,16650,16850
1465,2017-10-16,,4000,67200,67750
1465,2017-10-17,,14000,232750,234200
1465,2017-10-18,,181000,3130050,3146700
1465,2017-10-19,,13000,218200,219250
1465,2017-10-20,,7000,116300,117900
1465,2017-10-23,,14000,229400,231050
1465,2017-10-24,,12000,196400,198000
1465,2017-10-25,,2000,32800,32700
1465,2017-10-26,,50000,841400,841250
1465,2017-10-27,,53000,880550,880800
1465,2017-10-30,,40000,646800,658200
1465,2017-10-31,,2000,32400,32550
1465,2017-11-01,,2000,32200,32450
1465,2017-11-02,,0,0,0
1465,2017-11-03,,6000,99350,99050
1465,2017-11-06,,9000,147900,149500
1465,2017-11-07,,19000,312100,313400
1465,2017-11-08,,1000,16350,16650
1465,2017-11-09,,4000,65000,64200
1465,2017-11-10,,6000,96400,97700
1465,2017-11-13,,6000,95200,93950
1465,2017-11-14,,2000,31300,32200
1465,2017-11-15,,0,0,0
1465,2017-11-16,,7000,108500,109100
1465,2017-11-17,,0,0,0
1465,2017-11-20,,0,0,0
1465,2017-11-21,,1000,15550,15700
1465,2017-11-22,,1000,15500,15650
1465,2017-11-23,,3000,46950,46800
1465,2017-11-24,,1000,15600,15750
1465,2017-11-27,,0,0,0
1465,2017-11-28,,0,0,0
1465,2017-11-29,,33000,528250,526000
1465,2017-11-30,,0,0,0
1465,2017-12-01,,0,0,0
1465,2017-12-04,,0,0,0
1465,2017-12-05,,0,0,0
1465,2017-12-06,,0,0,0
1465,2017-12-07,,0,0,0
1465,2017-12-08,,4000,62550,62200
1465,2017-12-11,,4000,60850,61250
1465,2017-12-12,,1000,15200,15100
1465,2017-12-13,,3000,44550,45000
1465,2017-12-14,,8000,119100,119150
1465,2017-12-15,,0,0,0
1465,2017-12-18,,1000,14800,14850
1465,2017-12-19,,1000,14800,14950
1465,2017-12-20,,1000,15000,15200
1465,2017-12-21,,0,0,0
1465,2017-12-22,,0,0,0
1465,2017-12-25,,1000,15000,15100
1465,2017-12-26,,0,0,0
1465,2017-12-27,,12000,177000,178400
1465,2017-12-28,,2000,30400,30000
1465,2017-12-29,,1000,15100,15200
1465,2018-01-02,,3000,45250,46200
1465,2018-01-03,,11000,168100,166850
1465,2018-01-04,,0,0,0
1465,2018-01-05,,9000,137100,138100
1465,2018-01-08,,1000,15250,15250
1465,2018-01-09,,3000,45100,45400
1465,2018-01-10,,0,0,0
1465,2018-01-11,,0,0,0
1465,2018-01-12,,0,0,0
1465,2018-01-15,,9000,145150,148550
1465,2018-01-16,,196000,3284750,3294450
1465,2018-01-17,,11000,182150,182850
1465,2018-01-18,,3000,49350,49800
1465,2018-01-19,,3000,49350,49350
1465,2018-01-22,,4000,64200,64400
1465,2018-01-23,,12000,196350,195100
1465,2018-01-24,,171000,2942950,2941250
1465,2018-01-25,,7000,117350,118750
