stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
1432,2016-02-01,,11000,221150,221250
1432,2016-02-02,,26000,532700,540450
1432,2016-02-03,,5000,103650,103150
1432,2016-02-15,,3000,61450,62700
1432,2016-02-16,,35000,733750,728500
1432,2016-02-17,,2000,41400,41600
1432,2016-02-18,,23000,479950,478900
1432,2016-02-19,,4000,82200,83000
1432,2016-02-22,,1000,20400,20800
1432,2016-02-23,,4000,83450,82950
1432,2016-02-24,,0,0,0
1432,2016-02-25,,1000,20750,20950
1432,2016-02-26,,2000,41700,41600
1432,2016-03-01,,0,0,0
1432,2016-03-02,,0,0,0
1432,2016-03-03,,3000,62350,62750
1432,2016-03-04,,33000,709150,710100
1432,2016-03-07,Y,3000,65350,65200
1432,2016-03-08,Y,3000,65900,65300
1432,2016-03-09,Y,0,0,0
1432,2016-03-10,Y,58000,1284700,1292700
1432,2016-03-11,Y,266000,6177800,6274450
1432,2016-03-14,,132000,3163950,3150300
1432,2016-03-15,,58000,1334150,1321900
1432,2016-03-16,,51000,1157850,1157400
1432,2016-03-17,,40000,892950,893050
1432,2016-03-18,,23000,510650,507250
1432,2016-03-21,,23000,501000,502950
1432,2016-03-22,,25000,537450,543550
1432,2016-03-23,,12000,259800,259800
1432,2016-03-24,,84000,1873900,1899750
1432,2016-03-25,,23000,524950,523200
1432,2016-03-28,,20000,446900,447000
1432,2016-03-29,,18000,403000,393900
1432,2016-03-30,,52000,1179450,1178200
1432,2016-03-31,,8000,181300,181200
1432,2016-04-01,,127000,2974150,2972900
1432,2016-04-06,,81000,1935150,1934350
1432,2016-04-07,,63000,1510500,1506250
1432,2016-04-08,,156000,3786400,3778200
1432,2016-04-11,Y,17000,418750,412850
1432,2016-04-12,Y,19000,452250,445300
1432,2016-04-13,Y,1000,23500,23450
1432,2016-04-14,Y,37000,839850,830850
1432,2016-04-15,Y,13000,290100,290050
1432,2016-04-18,,11000,242700,243650
1432,2016-04-19,,15000,333000,333750
1432,2016-04-20,,1000,22200,22300
1432,2016-04-21,,29000,661900,669550
1432,2016-04-22,,3000,69050,68750
1432,2016-04-25,,1000,22850,22900
1432,2016-04-26,,0,0,0
1432,2016-04-27,,1000,22650,22650
1432,2016-04-28,,1000,22550,22200
1432,2016-04-29,,53000,1141150,1134050
1432,2016-05-03,,87000,1771350,1750600
1432,2016-05-04,,39000,789450,793250
1432,2016-05-05,,38000,787800,795950
1432,2016-05-06,,40000,839200,848300
1432,2016-05-09,,126000,2682950,2608500
1432,2016-05-10,,70000,1397900,1392400
1432,2016-05-11,,36000,723550,727200
1432,2016-05-12,,19000,372150,376950
1432,2016-05-13,,5000,96900,98500
1432,2016-05-16,,23000,463700,466800
1432,2016-05-17,,6000,120250,120000
1432,2016-05-18,,4000,78900,79100
1432,2016-05-19,,16000,313750,312350
1432,2016-05-20,,17000,328700,330850
1432,2016-05-23,,35000,703850,714950
1432,2016-05-24,,0,0,0
1432,2016-05-25,,1000,20200,20600
1432,2016-05-26,,2000,40500,40950
1432,2016-05-27,,0,0,0
1432,2016-05-30,,2000,40750,40900
1432,2016-05-31,,0,0,0
1432,2016-06-01,,0,0,0
1432,2016-06-02,,2000,40800,40800
1432,2016-06-03,,9000,182550,181150
1432,2016-06-06,,0,0,0
1432,2016-06-07,,0,0,0
1432,2016-06-08,,6000,122450,122450
1432,2016-06-13,,269000,5791250,5869150
1432,2016-06-14,,87000,1900300,1895850
1432,2016-06-15,,107000,2360900,2334750
1432,2016-06-16,,12000,254900,253650
1432,2016-06-17,,30000,628650,632150
1432,2016-06-20,,41000,860250,867200
1432,2016-06-21,,1000,21200,21050
1432,2016-06-22,,10000,211500,210500
1432,2016-06-23,,58000,1237850,1245100
1432,2016-06-24,,44000,930650,936200
1432,2016-06-27,,6000,126800,128050
1432,2016-06-28,,39000,845650,849800
1432,2016-06-29,,24000,529900,528500
1432,2016-06-30,,12000,263700,263500
1432,2016-07-01,,4000,87400,87200
1432,2016-07-04,,19000,417250,415400
1432,2016-07-05,,25000,553150,550900
1432,2016-07-06,,4000,87500,87450
1432,2016-07-07,,3000,64900,65450
1432,2016-07-11,,27000,593650,590350
1432,2016-07-12,,102000,2247600,2256750
1432,2016-07-13,,27000,602050,591450
1432,2016-07-14,,15000,325600,326550
1432,2016-07-15,,13000,283100,281650
1432,2016-07-18,,4000,86350,86800
1432,2016-07-19,,3000,64150,64100
1432,2016-07-20,,20000,427700,426300
1432,2016-07-21,,0,0,0
1432,2016-07-22,,100000,2181250,2182450
1432,2016-07-25,,3000,64950,64400
1432,2016-07-26,,0,0,0
1432,2016-07-27,,0,0,0
1432,2016-07-28,,0,0,0
1432,2016-07-29,,6000,128750,128250
1432,2016-08-01,,0,0,0
1432,2016-08-02,,2000,42900,42900
1432,2016-08-03,,4000,86000,85900
1432,2016-08-04,,0,0,0
1432,2016-08-05,,9000,194150,195300
1432,2016-08-08,,1000,21800,21750
1432,2016-08-09,,55000,1208050,1208600
1432,2016-08-10,,7000,153050,153700
1432,2016-08-11,,18000,392300,391300
1432,2016-08-12,,139000,2879150,2852550
1432,2016-08-15,,19000,376950,378900
1432,2016-08-16,,3000,59050,59300
1432,2016-08-17,,6000,115800,116250
1432,2016-08-18,,8000,153150,154650
1432,2016-08-19,,2000,38500,38900
1432,2016-08-22,,0,0,0
1432,2016-08-23,,0,0,0
1432,2016-08-24,,9000,172850,172850
1432,2016-08-25,,8000,152800,152950
1432,2016-08-26,,4000,76000,75600
1432,2016-08-29,,21000,393100,397800
1432,2016-08-30,,17000,322550,324500
1432,2016-08-31,,6000,113900,114250
1432,2016-09-01,,0,0,0
1432,2016-09-02,,3000,56850,56850
1432,2016-09-05,,0,0,0
1432,2016-09-06,,1000,18950,19150
1432,2016-09-07,,1000,18950,18850
1432,2016-09-08,,8000,150500,151000
1432,2016-09-09,,0,0,0
1432,2016-09-12,,10000,188000,189000
1432,2016-09-13,,1000,18750,18750
1432,2016-09-14,,14000,261500,262550
1432,2016-09-19,,0,0,0
1432,2016-09-20,,6000,110700,111800
1432,2016-09-21,,15000,276500,278650
1432,2016-09-22,,0,0,0
1432,2016-09-23,,0,0,0
1432,2016-09-26,,0,0,0
1432,2016-09-27,,0,0,0
1432,2016-09-28,,0,0,0
1432,2016-09-29,,11000,202550,202800
1432,2016-09-30,,2000,36700,36950
1432,2016-10-03,,15000,273700,276050
1432,2016-10-04,,0,0,0
1432,2016-10-05,,21000,376500,378050
1432,2016-10-06,,5000,90650,91050
1432,2016-10-07,,9000,166200,163400
1432,2016-10-11,,20000,343500,349000
1432,2016-10-12,,7000,118300,120000
1432,2016-10-13,,0,0,0
1432,2016-10-14,,2000,34100,34050
1432,2016-10-17,,1000,17100,17000
1432,2016-10-18,,23000,387650,386700
1432,2016-10-19,,0,0,0
1432,2016-10-20,,0,0,0
1432,2016-10-21,,0,0,0
1432,2016-10-24,,118000,1959300,1963000
1432,2016-10-25,,7000,115500,116250
1432,2016-10-26,,1000,16450,16550
1432,2016-10-27,,0,0,0
1432,2016-10-28,,0,0,0
1432,2016-10-31,,0,0,0
1432,2016-11-01,,13000,218100,218800
1432,2016-11-02,,0,0,0
1432,2016-11-03,,1000,16700,16900
1432,2016-11-04,,2000,32900,33000
1432,2016-11-07,,0,0,0
1432,2016-11-08,,41000,667900,673150
1432,2016-11-09,,4000,64550,65150
1432,2016-11-10,,1000,16400,16550
1432,2016-11-11,,10000,164450,165500
1432,2016-11-14,,2000,32500,32400
1432,2016-11-15,,20000,322000,324000
1432,2016-11-16,,2000,32300,32700
1432,2016-11-17,,2000,32250,32600
1432,2016-11-18,,4000,64200,65000
1432,2016-11-21,,12000,191100,193200
1432,2016-11-22,,16000,255650,257050
1432,2016-11-23,,0,0,0
1432,2016-11-24,,22000,348900,351000
1432,2016-11-25,,0,0,0
1432,2016-11-28,,4000,64700,64150
1432,2016-11-29,,0,0,0
1432,2016-11-30,,0,0,0
1432,2016-12-01,,167000,2906800,2900850
1432,2016-12-02,,50000,851300,846650
1432,2016-12-05,,13000,216350,217650
1432,2016-12-06,,1000,16700,16800
1432,2016-12-07,,18000,305000,306050
1432,2016-12-08,,2000,33600,33800
1432,2016-12-09,,4000,66500,67400
1432,2016-12-12,,0,0,0
1432,2016-12-13,,13000,216450,218400
1432,2016-12-14,,2000,33400,33550
1432,2016-12-15,,1000,16550,16700
1432,2016-12-16,,1000,16650,16650
1432,2016-12-19,,0,0,0
1432,2016-12-20,,1000,16600,16650
1432,2016-12-21,,0,0,0
1432,2016-12-22,,13000,213850,214500
1432,2016-12-23,,50000,822500,823500
1432,2016-12-26,,5000,81950,81750
