stock_id,stock_name,Date,Volume,Volume_Cash,Open,High,Low,Close,Change,Order
1342,八貫,2020-11-24,1930110.0,122253650.0,63.00,65.60,61.00,65.60,0.0,1383.0
1342,八貫,2020-11-25,1178490.0,78584464.0,65.60,68.70,65.50,65.80,0.2,865.0
1342,八貫,2020-11-26,556770.0,35174672.0,64.00,65.00,62.00,64.00,-1.8,442.0
1342,八貫,2020-11-27,280000.0,17598200.0,63.50,63.50,62.50,63.00,-1.0,220.0
1342,八貫,2020-11-30,291250.0,18205915.0,63.10,63.70,62.00,62.10,-0.9,229.0
1342,八貫,2020-12-01,173597.0,10818841.0,62.20,62.80,62.00,62.20,0.1,149.0
1342,八貫,2020-12-02,178796.0,11250254.0,62.50,63.50,62.50,62.50,0.3,141.0
1342,八貫,2020-12-03,188299.0,11635596.0,62.50,62.50,61.50,61.70,-0.8,150.0
1342,八貫,2020-12-04,203527.0,12424216.0,62.00,62.10,60.10,60.60,-1.1,183.0
1342,八貫,2020-12-07,484527.0,28702278.0,60.60,61.00,58.00,58.30,-2.3,322.0
1342,八貫,2020-12-08,165438.0,9793637.0,58.20,59.70,58.20,59.20,0.9,121.0
1342,八貫,2020-12-09,253100.0,15457999.0,59.30,62.50,59.30,62.00,2.8,212.0
1342,八貫,2020-12-10,194771.0,11829492.0,61.80,61.80,60.20,60.30,-1.7,124.0
1342,八貫,2020-12-11,240072.0,14369392.0,60.40,61.00,59.00,59.20,-1.1,141.0
1342,八貫,2020-12-14,87307.0,5248515.0,61.00,61.00,59.50,59.90,0.7,81.0
1342,八貫,2020-12-15,71093.0,4265921.0,60.50,60.50,59.70,59.70,-0.2,57.0
1342,八貫,2020-12-16,116032.0,6906252.0,59.80,60.00,59.00,59.50,-0.2,78.0
1342,八貫,2020-12-17,87090.0,5124630.0,60.30,60.30,58.60,59.00,-0.5,74.0
1342,八貫,2020-12-18,130174.0,7782033.0,60.20,60.20,59.00,59.70,0.7,100.0
1342,八貫,2020-12-21,79760.0,4775316.0,60.50,60.50,59.50,59.50,-0.2,60.0
1342,八貫,2020-12-22,105301.0,6216219.0,59.70,59.70,58.50,58.50,-1.0,88.0
1342,八貫,2020-12-23,119301.0,6946608.0,58.50,58.50,58.00,58.30,-0.2,107.0
1342,八貫,2020-12-24,60200.0,3525700.0,58.50,58.80,58.50,58.50,0.2,47.0
1342,八貫,2020-12-25,320473.0,19458524.0,60.00,61.90,59.90,60.20,1.7,255.0
1342,八貫,2020-12-28,172063.0,10518189.0,60.10,61.70,60.10,60.70,0.5,135.0
1342,八貫,2020-12-29,127300.0,7656890.0,61.00,61.00,59.50,59.90,-0.8,88.0
1342,八貫,2020-12-30,125606.0,7486581.0,60.30,60.30,59.00,59.70,-0.2,96.0
1342,八貫,2020-12-31,75508.0,4519962.0,59.50,60.40,59.50,60.00,0.3,53.0
1342,八貫,2021-01-04,128000.0,7632700.0,60.20,60.20,59.00,59.20,-0.8,91.0
1342,八貫,2021-01-05,78088.0,4629454.0,59.40,59.60,59.10,59.30,0.1,63.0
1342,八貫,2021-01-06,155025.0,9160291.0,59.20,59.60,58.30,58.90,-0.4,104.0
1342,八貫,2021-01-07,67133.0,3947309.0,58.60,59.10,58.60,58.70,-0.2,58.0
1342,八貫,2021-01-08,143640.0,8424035.0,58.80,59.00,58.50,59.00,0.3,94.0
1342,八貫,2021-01-11,77000.0,4509800.0,59.00,59.00,58.50,58.60,-0.4,66.0
1342,八貫,2021-01-12,306184.0,18449856.0,60.00,61.30,59.00,60.00,1.4,201.0
1342,八貫,2021-01-13,135361.0,8096958.0,60.90,60.90,58.90,59.50,-0.5,121.0
1342,八貫,2021-01-14,128691.0,7582904.0,60.00,60.00,58.40,59.30,-0.2,116.0
1342,八貫,2021-01-15,67696.0,3988184.0,60.00,60.00,58.30,58.80,-0.5,65.0
1342,八貫,2021-01-18,156176.0,9100389.0,59.00,59.00,57.90,58.10,-0.7,115.0
1342,八貫,2021-01-19,141475.0,8171358.0,58.20,58.20,57.10,57.20,-0.9,97.0
1342,八貫,2021-01-20,156008.0,8754097.0,57.00,57.00,55.60,55.60,-1.6,131.0
1342,八貫,2021-01-21,64530.0,3619966.0,55.60,57.00,55.60,56.10,0.5,49.0
1342,八貫,2021-01-22,56753.0,3193604.0,57.30,57.30,56.00,56.20,0.1,45.0
1342,八貫,2021-01-25,74200.0,4157719.0,56.10,56.40,55.90,56.40,0.2,44.0
1342,八貫,2021-01-26,76416.0,4242970.0,55.90,55.90,55.30,55.50,-0.9,65.0
1342,八貫,2021-01-27,35152.0,1955166.0,55.70,55.70,55.50,55.50,0.0,26.0
1342,八貫,2021-01-28,67000.0,3696700.0,55.10,55.40,55.00,55.30,-0.2,46.0
1342,八貫,2021-01-29,35250.0,1967824.0,55.60,56.20,55.60,55.70,0.4,33.0
1342,八貫,2021-02-01,21010.0,1167454.0,55.70,55.70,55.30,55.40,-0.3,21.0
1342,八貫,2021-02-02,38200.0,2136080.0,55.50,56.50,55.50,56.10,0.7,29.0
1342,八貫,2021-02-03,14000.0,788400.0,56.10,56.50,56.10,56.30,0.2,13.0
1342,八貫,2021-02-04,71197.0,4063210.0,56.80,57.40,56.80,56.80,0.5,52.0
1342,八貫,2021-02-05,20001.0,1137356.0,57.00,57.00,56.60,56.80,0.0,19.0
1342,八貫,2021-02-17,92090.0,5339638.0,57.20,58.80,57.20,58.60,1.8,64.0
1342,八貫,2021-02-18,131082.0,7812697.0,60.40,60.40,59.00,59.50,0.9,110.0
1342,八貫,2021-02-19,51000.0,3002200.0,59.00,59.40,58.50,58.80,-0.7,35.0
1342,八貫,2021-02-22,68541.0,4048588.0,58.90,59.30,58.90,59.10,0.3,56.0
1342,八貫,2021-02-23,61056.0,3573691.0,58.60,59.00,58.00,58.90,-0.2,53.0
1342,八貫,2021-02-24,112567.0,6641309.0,59.00,59.40,58.50,58.50,-0.4,89.0
