date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1464,得力,TW0001464006,239513152,106250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-13,1464,得力,TW0001464006,239513152,106250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-16,1464,得力,TW0001464006,239565152,54250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-17,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-18,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-19,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-20,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-23,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-24,1464,得力,TW0001464006,239583136,36250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-25,1464,得力,TW0001464006,239556144,63250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-26,1464,得力,TW0001464006,239556144,63250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-02-27,1464,得力,TW0001464006,239454144,165250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-01,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-02,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-03,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-04,1464,得力,TW0001464006,239347136,272250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-05,1464,得力,TW0001464006,239240144,379250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-08,1464,得力,TW0001464006,239000144,619250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-09,1464,得力,TW0001464006,238890144,729250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-10,1464,得力,TW0001464006,238864144,755250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-11,1464,得力,TW0001464006,238813152,806250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-12,1464,得力,TW0001464006,238781152,838250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-15,1464,得力,TW0001464006,238788144,831250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-16,1464,得力,TW0001464006,238918144,701250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-17,1464,得力,TW0001464006,239010144,609250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-18,1464,得力,TW0001464006,239371136,248250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-19,1464,得力,TW0001464006,239341152,278250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-22,1464,得力,TW0001464006,239341152,278250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-23,1464,得力,TW0001464006,239341152,278250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-24,1464,得力,TW0001464006,239371136,248250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-25,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-26,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-29,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-30,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-03-31,1464,得力,TW0001464006,239433152,186250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-01,1464,得力,TW0001464006,239509152,110250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-02,1464,得力,TW0001464006,239504144,115250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-05,1464,得力,TW0001464006,239499136,120250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-06,1464,得力,TW0001464006,239497152,122250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-07,1464,得力,TW0001464006,239497152,122250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-08,1464,得力,TW0001464006,239496144,123250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-09,1464,得力,TW0001464006,239494144,125250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-12,1464,得力,TW0001464006,239494144,125250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-13,1464,得力,TW0001464006,239494144,125250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-14,1464,得力,TW0001464006,239494144,125250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-15,1464,得力,TW0001464006,239472144,147250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-16,1464,得力,TW0001464006,239477152,142250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
2004-04-19,1464,得力,TW0001464006,239477152,142250,0.0,0.0,0.0,0.0,239619392,2000-11-16,1
