date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1304,台聚,TW0001304004,492143808,279259360,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-13,1304,台聚,TW0001304004,492145792,279257376,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-16,1304,台聚,TW0001304004,492264800,279138368,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-17,1304,台聚,TW0001304004,492410048,278993120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-18,1304,台聚,TW0001304004,492355040,279048128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-19,1304,台聚,TW0001304004,492355040,279048128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-20,1304,台聚,TW0001304004,492350048,279053120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-23,1304,台聚,TW0001304004,492268032,279135104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-24,1304,台聚,TW0001304004,492047040,279356128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-25,1304,台聚,TW0001304004,491948032,279455104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-26,1304,台聚,TW0001304004,491798048,279605120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-02-27,1304,台聚,TW0001304004,491801056,279602112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-01,1304,台聚,TW0001304004,491724032,279679104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-02,1304,台聚,TW0001304004,491724032,279679104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-03,1304,台聚,TW0001304004,491622048,279781120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-04,1304,台聚,TW0001304004,491247040,280156128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-05,1304,台聚,TW0001304004,490464032,280939104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-08,1304,台聚,TW0001304004,489745056,281658112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-09,1304,台聚,TW0001304004,489267040,282136128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-10,1304,台聚,TW0001304004,489193056,282210112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-11,1304,台聚,TW0001304004,489013056,282390112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-12,1304,台聚,TW0001304004,488903040,282500128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-15,1304,台聚,TW0001304004,488931040,282472128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-16,1304,台聚,TW0001304004,489705056,281698112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-17,1304,台聚,TW0001304004,490086048,281317120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-18,1304,台聚,TW0001304004,491134048,280269120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-19,1304,台聚,TW0001304004,490844032,280559104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-22,1304,台聚,TW0001304004,490844032,280559104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-23,1304,台聚,TW0001304004,491315040,280088128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-24,1304,台聚,TW0001304004,491472032,279931104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-25,1304,台聚,TW0001304004,491722048,279681120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-26,1304,台聚,TW0001304004,491302048,280101120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-29,1304,台聚,TW0001304004,491302048,280101120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-30,1304,台聚,TW0001304004,491302048,280101120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-03-31,1304,台聚,TW0001304004,491302048,280101120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-01,1304,台聚,TW0001304004,491429056,279974112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-02,1304,台聚,TW0001304004,491574048,279829120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-05,1304,台聚,TW0001304004,491714048,279689120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-06,1304,台聚,TW0001304004,491714048,279689120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-07,1304,台聚,TW0001304004,491611040,279792128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-08,1304,台聚,TW0001304004,491611040,279792128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-09,1304,台聚,TW0001304004,491611040,279792128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-12,1304,台聚,TW0001304004,491611040,279792128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-13,1304,台聚,TW0001304004,491558048,279845120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-14,1304,台聚,TW0001304004,491510048,279893120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-15,1304,台聚,TW0001304004,491393056,280010112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-16,1304,台聚,TW0001304004,491393056,280010112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-19,1304,台聚,TW0001304004,491393056,280010112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-20,1304,台聚,TW0001304004,491233056,280170112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-21,1304,台聚,TW0001304004,491233056,280170112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-22,1304,台聚,TW0001304004,491046048,280357120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-23,1304,台聚,TW0001304004,491088032,280315104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-26,1304,台聚,TW0001304004,491088032,280315104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-27,1304,台聚,TW0001304004,491088032,280315104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-28,1304,台聚,TW0001304004,490874048,280529120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-29,1304,台聚,TW0001304004,490659040,280744128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-04-30,1304,台聚,TW0001304004,490915040,280488128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-03,1304,台聚,TW0001304004,490948032,280455104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-04,1304,台聚,TW0001304004,490948032,280455104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-05,1304,台聚,TW0001304004,491148032,280255104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-06,1304,台聚,TW0001304004,491454048,279949120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-07,1304,台聚,TW0001304004,491514048,279889120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-10,1304,台聚,TW0001304004,491757056,279646112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-11,1304,台聚,TW0001304004,491688032,279715104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-12,1304,台聚,TW0001304004,491688032,279715104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-13,1304,台聚,TW0001304004,491827040,279576128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-14,1304,台聚,TW0001304004,491884032,279519104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-17,1304,台聚,TW0001304004,491953056,279450112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-18,1304,台聚,TW0001304004,492053056,279350112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-19,1304,台聚,TW0001304004,492053056,279350112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-20,1304,台聚,TW0001304004,491974048,279429120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-21,1304,台聚,TW0001304004,491974048,279429120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-24,1304,台聚,TW0001304004,491974048,279429120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-25,1304,台聚,TW0001304004,491976032,279427104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-26,1304,台聚,TW0001304004,491977056,279426112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-27,1304,台聚,TW0001304004,493536032,277867104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-28,1304,台聚,TW0001304004,493519040,277884128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-05-31,1304,台聚,TW0001304004,493519040,277884128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-01,1304,台聚,TW0001304004,493519040,277884128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-02,1304,台聚,TW0001304004,493519040,277884128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-03,1304,台聚,TW0001304004,493519040,277884128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-04,1304,台聚,TW0001304004,493517056,277886112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-07,1304,台聚,TW0001304004,493518048,277885120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-08,1304,台聚,TW0001304004,493525056,277878112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-09,1304,台聚,TW0001304004,493525056,277878112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-10,1304,台聚,TW0001304004,493527040,277876128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-11,1304,台聚,TW0001304004,493527040,277876128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-14,1304,台聚,TW0001304004,493527040,277876128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-15,1304,台聚,TW0001304004,493527040,277876128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-16,1304,台聚,TW0001304004,493525056,277878112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-17,1304,台聚,TW0001304004,493525056,277878112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-18,1304,台聚,TW0001304004,493641056,277762112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-21,1304,台聚,TW0001304004,493643040,277760128,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-23,1304,台聚,TW0001304004,493509056,277894112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-24,1304,台聚,TW0001304004,493509056,277894112,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-25,1304,台聚,TW0001304004,493492032,277911104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-28,1304,台聚,TW0001304004,493492032,277911104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-29,1304,台聚,TW0001304004,493492032,277911104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-06-30,1304,台聚,TW0001304004,493492032,277911104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-07-01,1304,台聚,TW0001304004,493062048,278341120,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-07-02,1304,台聚,TW0001304004,493196032,278207104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
2004-07-05,1304,台聚,TW0001304004,493012032,278391104,0.0,0.0,0.0,0.0,771403136,2000-11-17,1
