date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-13,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-16,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-17,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-18,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-19,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-20,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-23,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-24,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-25,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-26,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-02-27,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-01,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-02,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-03,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-04,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-05,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-08,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-09,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-10,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-11,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-12,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-15,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-16,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-17,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-18,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-19,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-22,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-23,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-24,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-25,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-26,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-29,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-30,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-03-31,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-01,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-02,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-05,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-06,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-07,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-08,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-09,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-12,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-13,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-14,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
2004-04-15,1438,裕豐,TW0001438000,102405888,5632,0.0,0.0,0.0,0.0,102411520,2000-11-16,1
