date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1473,台南,TW0001473007,96923056,25971744,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-13,1473,台南,TW0001473007,96894056,26000744,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-16,1473,台南,TW0001473007,96862056,26032744,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-17,1473,台南,TW0001473007,96725704,26169092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-18,1473,台南,TW0001473007,96571704,26323092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-19,1473,台南,TW0001473007,96081704,26813092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-20,1473,台南,TW0001473007,95840704,27054092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-23,1473,台南,TW0001473007,95952704,26942092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-24,1473,台南,TW0001473007,95995704,26899092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-25,1473,台南,TW0001473007,96072704,26822092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-26,1473,台南,TW0001473007,96066704,26828092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-02-27,1473,台南,TW0001473007,96118704,26776092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-01,1473,台南,TW0001473007,96222704,26672092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-02,1473,台南,TW0001473007,96322704,26572092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-03,1473,台南,TW0001473007,96196704,26698092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-04,1473,台南,TW0001473007,96031704,26863092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-05,1473,台南,TW0001473007,95913704,26981092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-08,1473,台南,TW0001473007,95757704,27137092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-09,1473,台南,TW0001473007,95533704,27361092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-10,1473,台南,TW0001473007,95520704,27374092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-11,1473,台南,TW0001473007,95477704,27417092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-12,1473,台南,TW0001473007,95414704,27480092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-15,1473,台南,TW0001473007,95361704,27533092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-16,1473,台南,TW0001473007,95379704,27515092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-17,1473,台南,TW0001473007,95330704,27564092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-18,1473,台南,TW0001473007,94915704,27979092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-19,1473,台南,TW0001473007,94199704,28695092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-22,1473,台南,TW0001473007,93737704,29157092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-23,1473,台南,TW0001473007,93752704,29142092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-24,1473,台南,TW0001473007,93698704,29196092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-25,1473,台南,TW0001473007,93763704,29131092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-26,1473,台南,TW0001473007,94005704,28889092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-29,1473,台南,TW0001473007,94019704,28875092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-30,1473,台南,TW0001473007,94004704,28890092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-03-31,1473,台南,TW0001473007,93934704,28960092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-01,1473,台南,TW0001473007,93886704,29008092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-02,1473,台南,TW0001473007,93834704,29060092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-05,1473,台南,TW0001473007,93834704,29060092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-06,1473,台南,TW0001473007,93750704,29144092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-07,1473,台南,TW0001473007,93550704,29344092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-08,1473,台南,TW0001473007,93397704,29497092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-09,1473,台南,TW0001473007,93152704,29742092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-12,1473,台南,TW0001473007,92996704,29898092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-13,1473,台南,TW0001473007,92901704,29993092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-14,1473,台南,TW0001473007,92618704,30276092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-15,1473,台南,TW0001473007,92481704,30413092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-16,1473,台南,TW0001473007,92396704,30498092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-19,1473,台南,TW0001473007,92360704,30534092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-20,1473,台南,TW0001473007,92354704,30540092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-21,1473,台南,TW0001473007,92254704,30640092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-22,1473,台南,TW0001473007,92177704,30717092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-23,1473,台南,TW0001473007,92061704,30833092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-26,1473,台南,TW0001473007,92009704,30885092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-27,1473,台南,TW0001473007,91911704,30983092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-28,1473,台南,TW0001473007,91736704,31158092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-29,1473,台南,TW0001473007,91504704,31390092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-04-30,1473,台南,TW0001473007,91046704,31848092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-03,1473,台南,TW0001473007,90971704,31923092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-04,1473,台南,TW0001473007,90885704,32009092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-05,1473,台南,TW0001473007,90857704,32037092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-06,1473,台南,TW0001473007,90815704,32079092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-07,1473,台南,TW0001473007,90780704,32114092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-10,1473,台南,TW0001473007,90752704,32142092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-11,1473,台南,TW0001473007,89819704,33075092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-12,1473,台南,TW0001473007,89739704,33155092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-13,1473,台南,TW0001473007,89699704,33195092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-14,1473,台南,TW0001473007,89393704,33501092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-17,1473,台南,TW0001473007,89303704,33591092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-18,1473,台南,TW0001473007,89253704,33641092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-19,1473,台南,TW0001473007,89236704,33658092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-20,1473,台南,TW0001473007,89224704,33670092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-21,1473,台南,TW0001473007,89622704,33272092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-24,1473,台南,TW0001473007,89561704,33333092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-25,1473,台南,TW0001473007,89600704,33294092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-26,1473,台南,TW0001473007,89613704,33281092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-27,1473,台南,TW0001473007,89622704,33272092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-28,1473,台南,TW0001473007,89640704,33254092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-05-31,1473,台南,TW0001473007,89640704,33254092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-01,1473,台南,TW0001473007,89654704,33240092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-02,1473,台南,TW0001473007,89654704,33240092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-03,1473,台南,TW0001473007,89654704,33240092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-04,1473,台南,TW0001473007,89652704,33242092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-07,1473,台南,TW0001473007,89619704,33275092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-08,1473,台南,TW0001473007,89623704,33271092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-09,1473,台南,TW0001473007,89623704,33271092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-10,1473,台南,TW0001473007,89624704,33270092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-11,1473,台南,TW0001473007,89619704,33275092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-14,1473,台南,TW0001473007,89643704,33251092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-15,1473,台南,TW0001473007,89643704,33251092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-16,1473,台南,TW0001473007,89723704,33171092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-17,1473,台南,TW0001473007,89744704,33150092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-18,1473,台南,TW0001473007,89762704,33132092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-21,1473,台南,TW0001473007,89749704,33145092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-23,1473,台南,TW0001473007,89744704,33150092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-24,1473,台南,TW0001473007,89853704,33041092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-25,1473,台南,TW0001473007,89893704,33001092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-28,1473,台南,TW0001473007,89894704,33000092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-29,1473,台南,TW0001473007,89974704,32920092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-06-30,1473,台南,TW0001473007,89955704,32939092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-01,1473,台南,TW0001473007,89964704,32930092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-02,1473,台南,TW0001473007,89991704,32903092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-05,1473,台南,TW0001473007,89989704,32905092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-06,1473,台南,TW0001473007,89983704,32911092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-07,1473,台南,TW0001473007,89951704,32943092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-08,1473,台南,TW0001473007,89920704,32974092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-09,1473,台南,TW0001473007,89885704,33009092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-12,1473,台南,TW0001473007,89908704,32986092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-13,1473,台南,TW0001473007,89882704,33012092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-14,1473,台南,TW0001473007,89835704,33059092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-15,1473,台南,TW0001473007,89800704,33094092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-16,1473,台南,TW0001473007,89763704,33131092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-19,1473,台南,TW0001473007,89705704,33189092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-20,1473,台南,TW0001473007,89680704,33214092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-21,1473,台南,TW0001473007,89726704,33168092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-22,1473,台南,TW0001473007,89796704,33098092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-23,1473,台南,TW0001473007,89796704,33098092,0.0,0.0,0.0,0.0,122894800,2003-08-12,1
2004-07-26,1473,台南,TW0001473007,89856704,33038092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-07-27,1473,台南,TW0001473007,89924704,32970092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-07-28,1473,台南,TW0001473007,89952704,32942092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-07-29,1473,台南,TW0001473007,89981704,32913092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-07-30,1473,台南,TW0001473007,89996704,32898092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-02,1473,台南,TW0001473007,89933704,32961092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-03,1473,台南,TW0001473007,89830704,33064092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-04,1473,台南,TW0001473007,89830704,33064092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-05,1473,台南,TW0001473007,89802704,33092092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-06,1473,台南,TW0001473007,89756704,33138092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-09,1473,台南,TW0001473007,89721704,33173092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-10,1473,台南,TW0001473007,89701704,33193092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-11,1473,台南,TW0001473007,89701704,33193092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-12,1473,台南,TW0001473007,89701704,33193092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-13,1473,台南,TW0001473007,89701704,33193092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-16,1473,台南,TW0001473007,89703704,33191092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-17,1473,台南,TW0001473007,89703704,33191092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-18,1473,台南,TW0001473007,89703704,33191092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-19,1473,台南,TW0001473007,89703704,33191092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-20,1473,台南,TW0001473007,89716704,33178092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-23,1473,台南,TW0001473007,89714704,33180092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-26,1473,台南,TW0001473007,89807704,33087092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-27,1473,台南,TW0001473007,89871704,33023092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-30,1473,台南,TW0001473007,89935704,32959092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-08-31,1473,台南,TW0001473007,90040704,32854092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-01,1473,台南,TW0001473007,90040704,32854092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-02,1473,台南,TW0001473007,90040704,32854092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-03,1473,台南,TW0001473007,90065704,32829092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-06,1473,台南,TW0001473007,90137704,32757092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-07,1473,台南,TW0001473007,90180704,32714092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-08,1473,台南,TW0001473007,90251704,32643092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-09,1473,台南,TW0001473007,90318704,32576092,0.0,0.0,100.0,0.0,122894800,2003-08-12,
2004-09-13,1473,台南,TW0001473007,90821704,32573092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-14,1473,台南,TW0001473007,90889704,32505092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-15,1473,台南,TW0001473007,90897704,32497092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-16,1473,台南,TW0001473007,90995704,32399092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-17,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-20,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-21,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-22,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-23,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-24,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-27,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-29,1473,台南,TW0001473007,91052704,32342092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-09-30,1473,台南,TW0001473007,91059704,32335092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-10-01,1473,台南,TW0001473007,91058704,32336092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-10-04,1473,台南,TW0001473007,90998704,32396092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
2004-10-05,1473,台南,TW0001473007,91019704,32375092,0.0,0.0,100.0,0.0,123394800,2004-09-10,
