date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1416,廣豐,TW0001416006,551654208,1603230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-13,1416,廣豐,TW0001416006,551654208,1603230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-16,1416,廣豐,TW0001416006,551736192,1521230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-17,1416,廣豐,TW0001416006,551775168,1482230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-18,1416,廣豐,TW0001416006,551775168,1482230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-19,1416,廣豐,TW0001416006,551775168,1482230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-20,1416,廣豐,TW0001416006,551775168,1482230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-23,1416,廣豐,TW0001416006,551775168,1482230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-24,1416,廣豐,TW0001416006,551540224,1717230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-25,1416,廣豐,TW0001416006,551468224,1789230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-26,1416,廣豐,TW0001416006,551468224,1789230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-02-27,1416,廣豐,TW0001416006,551472192,1785230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-01,1416,廣豐,TW0001416006,551416192,1841230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-02,1416,廣豐,TW0001416006,551416192,1841230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-03,1416,廣豐,TW0001416006,551416192,1841230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-04,1416,廣豐,TW0001416006,551134208,2123230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-05,1416,廣豐,TW0001416006,550889216,2368230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-08,1416,廣豐,TW0001416006,550486208,2771230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-09,1416,廣豐,TW0001416006,550232192,3025230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-10,1416,廣豐,TW0001416006,550172224,3085230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-11,1416,廣豐,TW0001416006,550061184,3196230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-12,1416,廣豐,TW0001416006,549985216,3272230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
2004-03-15,1416,廣豐,TW0001416006,550003200,3254230,0.0,0.0,0.0,0.0,553257408,2000-11-16,1
