date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-13,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-16,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-17,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-18,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-19,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-20,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-23,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-24,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-25,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-26,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-02-27,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-01,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-02,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-03,1472,三洋紡,TW0001472009,83127368,4372635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-04,1472,三洋紡,TW0001472009,83095368,4404635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-05,1472,三洋紡,TW0001472009,83063368,4436635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-08,1472,三洋紡,TW0001472009,83015368,4484635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-09,1472,三洋紡,TW0001472009,82976368,4523635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-10,1472,三洋紡,TW0001472009,82967368,4532635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-11,1472,三洋紡,TW0001472009,82952368,4547635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-12,1472,三洋紡,TW0001472009,82944368,4555635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-15,1472,三洋紡,TW0001472009,82946368,4553635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-16,1472,三洋紡,TW0001472009,82949368,4550635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-17,1472,三洋紡,TW0001472009,82960368,4539635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-18,1472,三洋紡,TW0001472009,83113368,4386635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-19,1472,三洋紡,TW0001472009,83113368,4386635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-22,1472,三洋紡,TW0001472009,83113368,4386635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-23,1472,三洋紡,TW0001472009,83113368,4386635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-24,1472,三洋紡,TW0001472009,83113368,4386635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-25,1472,三洋紡,TW0001472009,83121368,4378635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-26,1472,三洋紡,TW0001472009,83121368,4378635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-29,1472,三洋紡,TW0001472009,83121368,4378635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-30,1472,三洋紡,TW0001472009,83121368,4378635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
2004-03-31,1472,三洋紡,TW0001472009,83121368,4378635,0.0,0.0,0.0,0.0,87500000,2003-08-26,1
