date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1305,華夏,TW0001305001,406756704,18046820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-13,1305,華夏,TW0001305001,407155712,17647820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-16,1305,華夏,TW0001305001,407215712,17587820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-17,1305,華夏,TW0001305001,407245696,17557820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-18,1305,華夏,TW0001305001,407248704,17554820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-19,1305,華夏,TW0001305001,407248704,17554820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-20,1305,華夏,TW0001305001,407248704,17554820,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-23,1305,華夏,TW0001305001,409323808,15479722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-24,1305,華夏,TW0001305001,409208800,15594722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-25,1305,華夏,TW0001305001,409198816,15604722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-26,1305,華夏,TW0001305001,409198816,15604722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-02-27,1305,華夏,TW0001305001,409193792,15609722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-01,1305,華夏,TW0001305001,409194816,15608722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-02,1305,華夏,TW0001305001,409189792,15613722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-03,1305,華夏,TW0001305001,409190816,15612722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-04,1305,華夏,TW0001305001,409034816,15768722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-05,1305,華夏,TW0001305001,408476800,16326722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-08,1305,華夏,TW0001305001,407991808,16811722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-09,1305,華夏,TW0001305001,410189792,14613722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-10,1305,華夏,TW0001305001,412648800,12154722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-11,1305,華夏,TW0001305001,414798816,10004722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-12,1305,華夏,TW0001305001,417924800,6878722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-15,1305,華夏,TW0001305001,419680800,5122722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-16,1305,華夏,TW0001305001,422238816,2564722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-17,1305,華夏,TW0001305001,422545792,2257722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
2004-03-18,1305,華夏,TW0001305001,423110816,1692722,0.0,0.0,0.0,0.0,424803520,2000-11-16,1
